reaction_id,equation,gpr,g0,data_type
ASAD,aspsa_c + nadp_c + pi_c --> 4pasp_c + h_c + nadph_c,Cgl0252,-25.4,eQuilibrator_API
ASPK,asp__L_c + atp_c --> 4pasp_c + adp_c,Cgl0251,21.8,eQuilibrator_API
DAPDC_num1,26dap__M_c + h_c --> co2_c + lys__L_c,Cgl1180,-14.0,eQuilibrator_API
DAPDH,2.0 h_c + nadph_c + nh4_c + thdp_c --> 26dap__M_c + nadp_c,Cgl2617,30.0,eQuilibrator_API
DAPE,26dap_LL_c --> 26dap__M_c,Cgl1943,-1.7,eQuilibrator_API
DHDPRy,23dhdp_c + h_c + nadph_c --> nadp_c + thdp_c,Cgl1973,-20.0,eQuilibrator_API
DHDPS,aspsa_c + pyr_c --> 23dhdp_c + 2.0 h2o_c + h_c,Cgl1971,-129.0,eQuilibrator_API
HSDy,hom__L_c + nadp_c --> aspsa_c + h_c + nadph_c,Cgl1183,18.6,eQuilibrator_API
HSK,atp_c + hom__L_c --> adp_c + h_c + phom_c,Cgl1183 and Cgl1184,-40.0,eQuilibrator_API
SDPDS,h2o_c + sl26da_c --> 26dap_LL_c + succ_c,Cgl1109,8.0,eQuilibrator_API
SDPTA,akg_c + sl26da_c --> glu__L_c + sl2a6o_c,Cgl0814,-1.3,eQuilibrator_API
THDPS_num1,h2o_c + succoa_c + thdp_c --> coa_c + sl2a6o_c,Cgl1106,26.0,eQuilibrator_API
THRS,h2o_c + phom_c --> pi_c + thr__L_c,Cgl2220,-29.7,eQuilibrator_API
ACGAptspp,acgam_e + pep_c --> acgam6p_c + pyr_c,Cgl3036,-37.4,eQuilibrator_API
ACMANAptspp_num1,acmana_e + pep_c --> acmanap_c + pyr_c,Cgl1933,-38.9,eQuilibrator_API
ACMUMptspp_num1,acmum_e + pep_c --> acmum6p_c + pyr_c,Cgl1933,-42.4,eQuilibrator_API
ALAabcpp,ala__L_e + atp_c + h2o_c --> adp_c + ala__L_c + h_c + pi_c,Cgl0407,-30.61,eQuilibrator_API
ALAALAabcpp,alaala_e + atp_c + h2o_c --> adp_c + alaala_c + h_c + pi_c,,-30.61,eQuilibrator_API
ARBabcpp,arab__L_e + atp_c + h2o_c --> adp_c + arab__L_c + h_c + pi_c,Cgl0288 and Cgl0407,-30.61,eQuilibrator_API
ARBTptspp,arbt_e + pep_c --> arbt6p_c + pyr_c,Cgl2470,-39.9,eQuilibrator_API
ARGabcpp,arg__L_e + atp_c + h2o_c --> adp_c + arg__L_c + h_c + pi_c,,-30.61,eQuilibrator_API
ASCBptspp,ascb__L_e + pep_c --> ascb6p_c + pyr_c,Cgl2470,-39.8,eQuilibrator_API
ASNabcpp,asn__L_e + atp_c + h2o_c --> adp_c + asn__L_c + h_c + pi_c,,-30.61,eQuilibrator_API
ASPabcpp,asp__L_e + atp_c + h2o_c --> adp_c + asp__L_c + h_c + pi_c,,-30.61,eQuilibrator_API
CGLYabcpp,atp_c + cgly_e + h2o_c --> adp_c + cgly_c + h_c + pi_c,,-30.61,eQuilibrator_API
CRNabcpp,atp_c + crn_e + h2o_c --> adp_c + crn_c + h_c + pi_c,,-30.61,eQuilibrator_API
CRNDabcpp,atp_c + crn__D_e + h2o_c --> adp_c + crn__D_c + h_c + pi_c,,-30.61,eQuilibrator_API
CTBTabcpp,atp_c + ctbt_e + h2o_c --> adp_c + ctbt_c + h_c + pi_c,,-30.61,eQuilibrator_API
CYSabc2pp,atp_c + cys__L_c + h2o_c --> adp_c + cys__L_e + h_c + pi_c,,-30.61,eQuilibrator_API
CYSabcpp,atp_c + cys__L_e + h2o_c --> adp_c + cys__L_c + h_c + pi_c,,-30.61,eQuilibrator_API
DAPabcpp,26dap__M_e + atp_c + h2o_c --> 26dap__M_c + adp_c + h_c + pi_c,,-30.61,eQuilibrator_API
FRUpts2pp,fru_e + pep_c --> f6p_c + pyr_c,Cgl1933,-43.1,eQuilibrator_API
G3PCabcpp,atp_c + g3pc_e + h2o_c --> adp_c + g3pc_c + h_c + pi_c,Cgl1383 and Cgl1384 and Cgl1385 and Cgl1386,-30.61,eQuilibrator_API
G3PEabcpp,atp_c + g3pe_e + h2o_c --> adp_c + g3pe_c + h_c + pi_c,Cgl1383 and Cgl1384 and Cgl1385 and Cgl1386,-30.61,eQuilibrator_API
G3PGabcpp,atp_c + g3pg_e + h2o_c --> adp_c + g3pg_c + h_c + pi_c,Cgl1383 and Cgl1384 and Cgl1385 and Cgl1386,-30.61,eQuilibrator_API
G3PIabcpp,atp_c + g3pi_e + h2o_c --> adp_c + g3pi_c + h_c + pi_c,Cgl1383 and Cgl1384 and Cgl1385 and Cgl1386,-30.61,eQuilibrator_API
G3PSabcpp,atp_c + g3ps_e + h2o_c --> adp_c + g3ps_c + h_c + pi_c,Cgl1383 and Cgl1384 and Cgl1385 and Cgl1386,-30.61,eQuilibrator_API
GALTptspp,galt_e + pep_c --> galt1p_c + pyr_c,Cgl1933,-43.7,eQuilibrator_API
GAMptspp,gam_e + pep_c --> gam6p_c + pyr_c,Cgl1933,-37.3,eQuilibrator_API
GLCabcpp,atp_c + glc__D_e + h2o_c --> adp_c + glc__D_c + h_c + pi_c,Cgl0030 and Cgl0031 and Cgl0032,-30.61,eQuilibrator_API
GLCptspp,glc__D_e + pep_c --> g6p_c + pyr_c,Cgl3036,-45.7,eQuilibrator_API
GLNabcpp,atp_c + gln__L_e + h2o_c --> adp_c + gln__L_c + h_c + pi_c,,-30.61,eQuilibrator_API
GLUabcpp,atp_c + glu__L_e + h2o_c --> adp_c + glu__L_c + h_c + pi_c,Cgl1951 and Cgl1950 and Cgl1952 and Cgl1953,-30.61,eQuilibrator_API
GLYBabcpp_num1,atp_c + glyb_e + h2o_c --> adp_c + glyb_c + h_c + pi_c,Cgl0892,-30.61,eQuilibrator_API
GLYC2Pabcpp,atp_c + glyc2p_e + h2o_c --> adp_c + glyc2p_c + h_c + pi_c,Cgl1383 and Cgl1384 and Cgl1385 and Cgl1386,-30.61,eQuilibrator_API
GLYC3Pabcpp,atp_c + glyc3p_e + h2o_c --> adp_c + glyc3p_c + h_c + pi_c,Cgl1383 and Cgl1384 and Cgl1385 and Cgl1386,-30.61,eQuilibrator_API
GTHRDabc2pp,atp_c + gthrd_c + h2o_c --> adp_c + gthrd_e + h_c + pi_c,Cgl1993 and Cgl2320 and Cgl2321 and Cgl2322,-30.61,eQuilibrator_API
GTHRDabcpp,atp_c + gthrd_e + h2o_c --> adp_c + gthrd_c + h_c + pi_c,,-30.61,eQuilibrator_API
HISabcpp,atp_c + h2o_c + his__L_e --> adp_c + h_c + his__L_c + pi_c,,-30.61,eQuilibrator_API
LYSabcpp,atp_c + h2o_c + lys__L_e --> adp_c + h_c + lys__L_c + pi_c,Cgl1262,-30.61,eQuilibrator_API
MALTabcpp,atp_c + h2o_c + malt_e --> adp_c + h_c + malt_c + pi_c,Cgl2460 and Cgl2461 and Cgl2463,-30.61,eQuilibrator_API
MALTptspp,malt_e + pep_c --> malt6p_c + pyr_c,Cgl1933,-39.5,eQuilibrator_API
MANptspp,man_e + pep_c --> man6p_c + pyr_c,Cgl1360,-44.5,eQuilibrator_API
METabcpp,atp_c + h2o_c + met__L_e --> adp_c + h_c + met__L_c + pi_c,Cgl0635 and Cgl0636 and Cgl0637,-30.61,eQuilibrator_API
MNLptspp,mnl_e + pep_c --> mnl1p_c + pyr_c,Cgl3036,-43.0,eQuilibrator_API
NMNt7pp,h2o_c + nmn_e --> h_c + ncam_c + r5p_c,,-31.0,eQuilibrator_API
ORNabcpp,atp_c + h2o_c + orn_e --> adp_c + h_c + orn_c + pi_c,,-30.61,eQuilibrator_API
PA120abcpp_num1,atp_c + h2o_c + pa120_c --> adp_c + h_c + pa120_e + pi_c,Cgl1221 and Cgl1222 and Cgl1223,-30.61,eQuilibrator_API
PA140abcpp_num1,atp_c + h2o_c + pa140_c --> adp_c + h_c + pa140_e + pi_c,Cgl1221 and Cgl1222 and Cgl1223,-30.61,eQuilibrator_API
PA141abcpp_num1,atp_c + h2o_c + pa141_c --> adp_c + h_c + pa141_e + pi_c,Cgl1221 and Cgl1222 and Cgl1223,-30.61,eQuilibrator_API
PA160abcpp_num1,atp_c + h2o_c + pa160_c --> adp_c + h_c + pa160_e + pi_c,Cgl1221 and Cgl1222 and Cgl1223,-30.61,eQuilibrator_API
PA161abcpp_num1,atp_c + h2o_c + pa161_c --> adp_c + h_c + pa161_e + pi_c,Cgl1221 and Cgl1222 and Cgl1223,-30.61,eQuilibrator_API
PA180abcpp_num1,atp_c + h2o_c + pa180_c --> adp_c + h_c + pa180_e + pi_c,Cgl1221 and Cgl1222 and Cgl1223,-30.61,eQuilibrator_API
PA181abcpp_num1,atp_c + h2o_c + pa181_c --> adp_c + h_c + pa181_e + pi_c,Cgl1221 and Cgl1222 and Cgl1223,-30.61,eQuilibrator_API
PGP120abcpp_num1,atp_c + h2o_c + pgp120_c --> adp_c + h_c + pgp120_e + pi_c,Cgl1221 and Cgl1222 and Cgl1223,-30.61,eQuilibrator_API
PGP140abcpp_num1,atp_c + h2o_c + pgp140_c --> adp_c + h_c + pgp140_e + pi_c,Cgl1221 and Cgl1222 and Cgl1223,-30.61,eQuilibrator_API
PGP141abcpp_num1,atp_c + h2o_c + pgp141_c --> adp_c + h_c + pgp141_e + pi_c,Cgl1221 and Cgl1222 and Cgl1223,-30.61,eQuilibrator_API
PGP160abcpp_num1,atp_c + h2o_c + pgp160_c --> adp_c + h_c + pgp160_e + pi_c,Cgl1221 and Cgl1222 and Cgl1223,-30.61,eQuilibrator_API
PGP161abcpp_num1,atp_c + h2o_c + pgp161_c --> adp_c + h_c + pgp161_e + pi_c,Cgl1221 and Cgl1222 and Cgl1223,-30.61,eQuilibrator_API
PGP180abcpp_num1,atp_c + h2o_c + pgp180_c --> adp_c + h_c + pgp180_e + pi_c,Cgl1221 and Cgl1222 and Cgl1223,-30.61,eQuilibrator_API
PGP181abcpp_num1,atp_c + h2o_c + pgp181_c --> adp_c + h_c + pgp181_e + pi_c,Cgl1221 and Cgl1222 and Cgl1223,-30.61,eQuilibrator_API
PHEMEabcpp_num1,atp_c + h2o_c + pheme_c --> adp_c + h_c + pheme_e + pi_c,Cgl1221 and Cgl1222 and Cgl1223,-30.61,eQuilibrator_API
PROabcpp,atp_c + h2o_c + pro__L_e --> adp_c + h_c + pi_c + pro__L_c,Cgl1419,-30.61,eQuilibrator_API
PROGLYabcpp,atp_c + h2o_c + progly_e --> adp_c + h_c + pi_c + progly_c,,-30.61,eQuilibrator_API
RIBabcpp,atp_c + h2o_c + rib__D_e --> adp_c + h_c + pi_c + rib__D_c,Cgl1252 and Cgl1253 and Cgl1254,-30.61,eQuilibrator_API
SBTptspp,pep_c + sbt__D_e --> pyr_c + sbt6p_c,Cgl3036,-45.8,eQuilibrator_API
SERabcpp,atp_c + h2o_c + ser__L_e --> adp_c + h_c + pi_c + ser__L_c,,-30.61,eQuilibrator_API
SPMDabcpp,atp_c + h2o_c + spmd_e --> adp_c + h_c + pi_c + spmd_c,Cgl0426 and Cgl0427 and Cgl0428,-30.61,eQuilibrator_API
SUCptspp,pep_c + sucr_e --> pyr_c + suc6p_c,Cgl3036,-49.3,eQuilibrator_API
THMabcpp,atp_c + h2o_c + thm_e --> adp_c + h_c + pi_c + thm_c,Cgl1078 and Cgl1079 and Cgl1080,-30.61,eQuilibrator_API
THRabcpp,atp_c + h2o_c + thr__L_e --> adp_c + h_c + pi_c + thr__L_c,,-30.61,eQuilibrator_API
TREabcpp,atp_c + h2o_c + tre_e --> adp_c + h_c + pi_c + tre_c,,-30.61,eQuilibrator_API
TREptsp_num1,pep_c + tre_c --> pyr_c + tre6p_c,Cgl1933,-50.7,eQuilibrator_API
TREptspp_num1,pep_c + tre_e --> pyr_c + tre6p_c,Cgl1933,-50.7,eQuilibrator_API
TRPabcpp,atp_c + h2o_c + trp__L_e --> adp_c + h_c + pi_c + trp__L_c,,-30.61,eQuilibrator_API
Biotinabcpp,atp_c + btn_c + h2o_c --> adp_c + btn_e + h_c + pi_c,,-30.61,eQuilibrator_API
ANPRT,anth_c + prpp_c --> ppi_c + pran_c,Cgl3032,-65.0,eQuilibrator_API
ANS,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c,Cgl3029 and Cgl3031,-111.0,eQuilibrator_API
CHORM,chor_c --> pphn_c,Cgl0853,-49.0,eQuilibrator_API
CHORS,3psme_c --> chor_c + pi_c,Cgl1623,-47.0,eQuilibrator_API
DDPA,e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c,Cgl0990 and Cgl2178,-74.3,eQuilibrator_API
DHQS,2dda7p_c --> 3dhq_c + pi_c,Cgl1621,-151.0,eQuilibrator_API
DHQTi,3dhq_c --> 3dhsk_c + h2o_c,Cgl0423,-5.3,eQuilibrator_API
IGPS,2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c,Cgl3033,-72.0,eQuilibrator_API
PHETA1_num1,glu__L_c + phpyr_c --> akg_c + phe__L_c,Cgl0218,0.4,eQuilibrator_API
PPND,nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c,Cgl0226,-11.0,eQuilibrator_API
PPNDH,h_c + pphn_c --> co2_c + h2o_c + phpyr_c,Cgl2899,-64.0,eQuilibrator_API
PRAIi,pran_c --> 2cpr5p_c,Cgl3033,-9.8,eQuilibrator_API
PSCVT,pep_c + skm5p_c --> 3psme_c + pi_c,Cgl0764,-15.9,eQuilibrator_API
SHK3Dr_num1,3dhsk_c + h_c + nadph_c --> nadp_c + skm_c,Cgl1132,-5.7,eQuilibrator_API
SHKK,atp_c + skm_c --> adp_c + h_c + skm5p_c,Cgl1622,-26.3,eQuilibrator_API
TRPS1,3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c,Cgl3034 and Cgl3035,-31.4,eQuilibrator_API
TRPS2,indole_c + ser__L_c --> h2o_c + trp__L_c,Cgl3034 and Cgl3035,-50.6,eQuilibrator_API
TRPS3,3ig3p_c --> g3p_c + indole_c,Cgl3034 and Cgl3035,19.2,eQuilibrator_API
TYRRRpp,atp_c + h2o_c + tyr__L_e --> adp_c + h_c + pi_c + tyr__L_c,,-30.61,eQuilibrator_API
TYRTA_num1,34hpp_c + glu__L_c --> akg_c + tyr__L_c,Cgl0218,-0.1,eQuilibrator_API
INPSHE,2cpr5p_c --> 3ig3p_c + co2_c + h2o_c,Cgl3033,-72.0,eQuilibrator_API
ATPM,atp_c + h2o_c --> adp_c + h_c + pi_c,,-30.61,eQuilibrator_API
ACHBS,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c,Cgl1271 and Cgl1272,-17.0,eQuilibrator_API
ACLS,h_c + 2.0 pyr_c --> alac__S_c + co2_c,Cgl1271 and Cgl1272,-25.0,eQuilibrator_API
DHAD1,23dhmb_c --> 3mob_c + h2o_c,Cgl1268,-36.9,eQuilibrator_API
DHAD2,23dhmp_c --> 3mop_c + h2o_c,Cgl1268,-36.9,eQuilibrator_API
ILETA,3mop_c + glu__L_c --> akg_c + ile__L_c,Cgl2204,6.2,eQuilibrator_API
IPMD,3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c,Cgl1286,14.5,eQuilibrator_API
IPPMIa,3c2hmp_c --> 2ippm_c + h2o_c,Cgl1315 and Cgl1316,-3.7,eQuilibrator_API
IPPMIb,2ippm_c + h2o_c --> 3c3hmp_c,Cgl1315 and Cgl1316,-0.4,eQuilibrator_API
IPPS,3mob_c + accoa_c + h2o_c --> 3c3hmp_c + coa_c + h_c,Cgl0248,-27.0,eQuilibrator_API
KARA1,23dhmb_c + nadp_c --> alac__S_c + h_c + nadph_c,Cgl1273,14.8,eQuilibrator_API
KARA2,2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c,Cgl1273,-14.8,eQuilibrator_API
OMCDC,3c4mop_c + h_c --> 4mop_c + co2_c,,-13.0,eQuilibrator_API
THRD_L_num1,thr__L_c --> 2obut_c + nh4_c,Cgl0978,-24.0,eQuilibrator_API
VALTA,3mob_c + glu__L_c --> akg_c + val__L_c,Cgl2204,-1.4,eQuilibrator_API
ALATA_L_reverse,akg_c + ala__L_c --> glu__L_c + pyr_c,Cgl2844,-0.2,eQuilibrator_API
ASPTA_reverse,glu__L_c + oaa_c --> akg_c + asp__L_c,Cgl0240,-2.8,eQuilibrator_API
2METS_reverse,coa_c + hcat_c --> h2o_c + oaa_c + ppcoa_c,Cgl0659,-2.8,eQuilibrator_API
ACHMSC_reverse,ac_c + cyst__L_c + h_c --> achms_c + cys__L_c,,74.0,eQuilibrator_API
ALCD19_reverse_num1,glyc_c + nad_c --> glyald_c + h_c + nadh_c,Cgl0331,35.0,eQuilibrator_API
AMANAPEr_reverse,acgam6p_c --> acmanap_c,Cgl2648,2.2,eQuilibrator_API
APG_reverse,apg_c + cmp_c --> cdpdag_c + glyc3p_c,,2.2,eQuilibrator_API
ARAI_reverse_num1,rbl__L_c --> arab__L_c,Cgl1023,-4.9,eQuilibrator_API
CBMKr_reverse,adp_c + cbp_c + 2.0 h_c --> atp_c + co2_c + nh4_c,,-18.0,eQuilibrator_API
DHACOAH_reverse,3hadpcoa_c --> 23dhacoa_c + h2o_c,Cgl0919,-0.4,eQuilibrator_API
G3PD2_reverse,dhap_c + h_c + nadph_c --> glyc3p_c + nadp_c,Cgl1320,-21.8,eQuilibrator_API
GLCATr_reverse,acglc__D_c + coa_c --> accoa_c + glc__D_c,Cgl0143,1.7,eQuilibrator_API
GUI1_reverse,fruur_c --> glcur_c,Cgl2484,-0.6,eQuilibrator_API
HCO3E_reverse,h_c + hco3_c --> co2_c + h2o_c,Cgl2670,9.5,eQuilibrator_API
HPYRI_reverse_num1,2h3oppan_c --> hpyr_c,Cgl2109,-1.6,eQuilibrator_API
MALGT_reverse,tre_c --> malt_c,Cgl2303,-0.4,eQuilibrator_API
MALTATr_reverse,acmalt_c + coa_c --> accoa_c + malt_c,Cgl0143,3.0,eQuilibrator_API
MAN1PG_reverse,gdpmann_c + ppi_c --> gtp_c + man1p_c,Cgl0742,8.9,eQuilibrator_API
MAN6PI_reverse,f6p_c --> man6p_c,Cgl0748,1.4,eQuilibrator_API
MM_COA_ADD5_reverse,adp_c + h_c + mmcoa__S_c + pi_c --> atp_c + hco3_c + ppcoa_c,Cgl0707,6.0,eQuilibrator_API
PGMT_reverse,g6p_c --> g1p_c,Cgl2541,7.4,eQuilibrator_API
PMANM_reverse_num1,man6p_c --> man1p_c,Cgl0687,4.4,eQuilibrator_API
UDPG4E_reverse,udpgal_c --> udpg_c,Cgl1921,-1.3,eQuilibrator_API
XYLI1_reverse,xylu__D_c --> xyl__D_c,Cgl0172,-3.7,eQuilibrator_API
MCITD_reverse_num1,2mcacn_c + h2o_c --> 2mcit_c,Cgl0657,2.9,eQuilibrator_API
ACOTA_reverse,acg5sa_c + glu__L_c --> acorn_c + akg_c,Cgl1397,3.6,eQuilibrator_API
AGPR_reverse,acg5p_c + h_c + nadph_c --> acg5sa_c + nadp_c + pi_c,Cgl1394,-4.6,eQuilibrator_API
ARGSL_reverse,arg__L_c + fum_c --> argsuc_c,Cgl1401,9.0,eQuilibrator_API
GLUNATF_reverse,acglu_c + orn_c --> acorn_c + glu__L_c,Cgl1395,-2.7,eQuilibrator_API
OCBT_reverse,citr__L_c + h_c + pi_c --> cbp_c + orn_c,Cgl1398,31.6,eQuilibrator_API
BAMPN_reverse,amp_c + bccp_c + h_c --> apo_c + btamp_c,,31.6,eQuilibrator_API
ALAALAr_reverse,adp_c + alaala_c + h_c + pi_c --> 2.0 ala__D_c + atp_c,Cgl1321,29.0,eQuilibrator_API
CDPDAG_reverse,cdpdag_c + ppi_c --> ctp_c + pa_c,,29.0,eQuilibrator_API
GLUR_reverse,glu__L_c --> glu__D_c,Cgl2509,0.5,eQuilibrator_API
PGAMT_reverse,gam6p_c --> gam1p_c,Cgl0583,3.4,eQuilibrator_API
G1PTT_reverse,dtdpglu_c + ppi_c --> dttp_c + g1p_c + h_c,Cgl0332,-1.8,eQuilibrator_API
GALUi_reverse_num1,ppi_c + udpg_c --> g1p_c + h_c + utp_c,Cgl0367,3.2,eQuilibrator_API
PAPPT3_reverse,uagmda_c + ump_c --> udcpp_c + ugmda_c,Cgl2161,1.7,eQuilibrator_API
ACONTa_reverse,acon_C_c + h2o_c --> cit_c,Cgl1540,-9.2,eQuilibrator_API
ACONTb_reverse,icit_c --> acon_C_c + h2o_c,Cgl1540,1.4,eQuilibrator_API
FUM_reverse,mal__L_c --> fum_c + h2o_c,Cgl1010,3.43,eQuilibrator_API
MDH_reverse,h_c + nadh_c + oaa_c --> mal__L_c + nad_c,Cgl2380,-25.38,eQuilibrator_API
PYRC_reverse,adp_c + h_c + oaa_c + pi_c --> atp_c + hco3_c + pyr_c,Cgl0689,7.8,eQuilibrator_API
AMAOTr_reverse,amob_c + dann_c --> 8aonn_c + amet_c,Cgl2604,1.7748502727426398,eQuilibrator_API
DHFR_reverse,nadp_c + thf_c --> dhf_c + h_c + nadph_c,Cgl0843,18.1,eQuilibrator_API
DHPTPE_reverse,dhmptp_c --> ahdt_c,Cgl2693,17.0,eQuilibrator_API
G1SAT_reverse,5aop_c --> glu1sa_c,Cgl0437,9.5,eQuilibrator_API
GTHOr_reverse,2.0 gthrd_c + nadp_c --> gthox_c + h_c + nadph_c,Cgl2003,12.2,eQuilibrator_API
ICHORS_reverse,ichor_c --> chor_c,Cgl1292,-1.0,eQuilibrator_API
IPDDI_reverse,dmpp_c --> ipdp_c,Cgl2305,4.8,eQuilibrator_API
OHPBAT_reverse,akg_c + phthr_c --> glu__L_c + ohpb_c,Cgl0828,-10.0,eQuilibrator_API
PY5PSH_reverse,glu__L_c + 3.0 h2o_c + h_c + pi_c + pydx5p_c --> g3p_c + gln__L_c + r5p_c,Cgl0788 and Cgl0789,308.0,eQuilibrator_API
TRATF_reverse_num1,2saa_c + glu__L_c --> akg_c + tau_c,Cgl2441,308.0,eQuilibrator_API
NAMNPP_reverse,adp_c + nicrnt_c + pi_c + ppi_c --> atp_c + h2o_c + nac_c + prpp_c,Cgl2517,39.2,eQuilibrator_API
RBFK_reverse,adp_c + fmn_c + h_c --> atp_c + ribflv_c,Cgl1978,16.5,eQuilibrator_API
SERAT_reverse,acser_c + coa_c --> accoa_c + ser__L_c,Cgl2563,6.0,eQuilibrator_API
ACBCP_reverse,bccp_c + malcoa_c --> accoa_c + cbccp_c,,6.0,eQuilibrator_API
MTHFC_reverse,10fthf_c + h_c --> h2o_c + methf_c,Cgl0648,5.0,eQuilibrator_API
MTHFD_reverse,methf_c + nadph_c --> mlthf_c + nadp_c,Cgl0648,-5.5,eQuilibrator_API
GHMT2r_reverse,gly_c + h2o_c + mlthf_c --> ser__L_c + thf_c,Cgl0996,10.1,eQuilibrator_API
ENO_reverse,h2o_c + pep_c --> 2pg_c,Cgl0974,3.89,eQuilibrator_API
FBA_reverse,dhap_c + g3p_c --> fdp_c,Cgl2770,-23.7,eQuilibrator_API
GAPD_reverse_num1,13dpg_c + h_c + nadh_c --> g3p_c + nad_c + pi_c,Cgl0937,-0.1,eQuilibrator_API
PGI_reverse,f6p_c --> g6p_c,Cgl0851,-2.5,eQuilibrator_API
PGK_reverse,3pg_c + atp_c --> 13dpg_c + adp_c,Cgl1587,19.5,eQuilibrator_API
PGM_reverse_num1,2pg_c --> 3pg_c,Cgl1058,-4.3,eQuilibrator_API
TPI_reverse,g3p_c --> dhap_c,Cgl1586,-5.7,eQuilibrator_API
PRMICI_reverse,prlp_c --> prfp_c,Cgl2096,9.8,eQuilibrator_API
PRPPS_reverse,amp_c + h_c + prpp_c --> atp_c + r5p_c,Cgl0942,1.4,eQuilibrator_API
MI2DH_reverse_num1,2ins_c + h_c + nadh_c --> inost_c + nad_c,Cgl0164,6.7,eQuilibrator_API
MI2DHT_reverse,h2o_c + thcd_c --> 2ins_c,Cgl0163,6.7,eQuilibrator_API
ACACT1r_reverse,aacoa_c + coa_c --> 2.0 accoa_c,Cgl2392,-25.2,eQuilibrator_API
ACOAD1f_reverse,b2coa_c + fadh2_c --> btcoa_c + fad_c,Cgl0288,-36.0,eQuilibrator_API
ACOAD3f_reverse,fadh2_c + oc2coa_c --> fad_c + occoa_c,Cgl0288,-41.4,eQuilibrator_API
ACOAD5f_reverse,dd2coa_c + fadh2_c --> ddcacoa_c + fad_c,Cgl0288,-41.4,eQuilibrator_API
ACOAD6f_reverse,fadh2_c + td2coa_c --> fad_c + tdcoa_c,Cgl0288,-41.4,eQuilibrator_API
ACOAD7f_reverse,fadh2_c + hdd2coa_c --> fad_c + pmtcoa_c,Cgl0288,-44.9,eQuilibrator_API
ACOAD8f_reverse,fadh2_c + od2coa_c --> fad_c + stcoa_c,Cgl0288,-41.4,eQuilibrator_API
ADK1_reverse,2.0 adp_c --> amp_c + atp_c,Cgl0556,-0.52,eQuilibrator_API
ADK2_reverse,adp_c + dadp_c --> atp_c + damp_c,Cgl0556,-3.4,eQuilibrator_API
ADK3_reverse,adp_c + gdp_c --> amp_c + gtp_c,Cgl0315,-2.7,eQuilibrator_API
ADK4_reverse,adp_c + idp_c --> amp_c + itp_c,Cgl0315,0.7,eQuilibrator_API
CYTK1_reverse,adp_c + cdp_c --> atp_c + cmp_c,Cgl1427,-2.0,eQuilibrator_API
CYTK2_reverse,adp_c + dcdp_c --> atp_c + dcmp_c,Cgl1427,-2.0,eQuilibrator_API
DGK1_reverse,adp_c + dgdp_c --> atp_c + dgmp_c,Cgl1606,-5.3,eQuilibrator_API
DTMPK_reverse,adp_c + dtdp_c --> atp_c + dtmp_c,Cgl0753,2.3,eQuilibrator_API
GK1_reverse,adp_c + gdp_c --> atp_c + gmp_c,Cgl1606,0.1,eQuilibrator_API
NDPK1_reverse,adp_c + gtp_c --> atp_c + gdp_c,Cgl2370,2.2,eQuilibrator_API
NDPK2_reverse,adp_c + utp_c --> atp_c + udp_c,Cgl2370,-0.5,eQuilibrator_API
NDPK3_reverse,adp_c + ctp_c --> atp_c + cdp_c,Cgl2370,-0.3,eQuilibrator_API
NDPK4_reverse,adp_c + dttp_c --> atp_c + dtdp_c,Cgl2370,-0.8,eQuilibrator_API
NDPK5_reverse,adp_c + dgtp_c --> atp_c + dgdp_c,Cgl2370,-1.7,eQuilibrator_API
NDPK6_reverse,adp_c + dutp_c --> atp_c + dudp_c,Cgl2370,1.1,eQuilibrator_API
NDPK7_reverse,adp_c + dctp_c --> atp_c + dcdp_c,Cgl2370,-3.8,eQuilibrator_API
NDPK8_reverse,adp_c + datp_c --> atp_c + dadp_c,Cgl2370,-2.5,eQuilibrator_API
NNATr_reverse,dnad_c + ppi_c --> atp_c + h_c + nicrnt_c,Cgl2352,25.0,eQuilibrator_API
UMPK_reverse,adp_c + udp_c --> atp_c + ump_c,Cgl2024,-0.4,eQuilibrator_API
URIDK2r_reverse,adp_c + dudp_c --> atp_c + dump_c,Cgl0753,-0.6,eQuilibrator_API
ATPS4rpp_reverse,atp_c + h2o_c + 3.0 h_c --> adp_c + 4.0 h_e + pi_c,Cgl1213 and Cgl1211 and Cgl1210 and Cgl1208 and Cgl1212 and Cgl1209 and Cgl1207 and Cgl1206,-30.61,eQuilibrator_API
PPKr_reverse,adp_c + ppi_c --> atp_c + pi_c,,14.87,eQuilibrator_API
G6PDH2r_reverse,6pgl_c + h_c + nadph_c --> g6p_c + nadp_c,Cgl1576,7.6,eQuilibrator_API
RPE_reverse,xu5p__D_c --> ru5p__D_c,Cgl1598,3.4,eQuilibrator_API
RPI_reverse,ru5p__D_c --> r5p_c,Cgl2423,-4.5,eQuilibrator_API
TALA_reverse,e4p_c + f6p_c --> g3p_c + s7p_c,Cgl1575,1.2,eQuilibrator_API
