reaction_id,equation,gpr,g0,data_type
P5CD,1pyr5c_c + 2.0 h2o_c + nad_c --> glu__L_c + h_c + nadh_c,Cgl0099,-15.0,eQuilibrator_API
P5CR,1pyr5c_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c,Cgl0410,-13.0,eQuilibrator_API
PROD2,fad_c + pro__L_c --> 1pyr5c_c + fadh2_c + h_c,Cgl0099,-1.0,eQuilibrator_API
SPMDAT1,accoa_c + spmd_c --> N1aspmd_c + coa_c + h_c,Cgl1237,-26.7,eQuilibrator_API
SPMDAT2_num1,accoa_c + spmd_c --> coa_c + h_c + n8aspmd_c,Cgl0120,-27.2,eQuilibrator_API
SSALy_num1,h2o_c + nadp_c + sucsal_c --> 2.0 h_c + nadph_c + succ_c,Cgl0051,-44.3,eQuilibrator_API
UREAAH,h2o_c + urea_c --> co2_c + 2.0 nh4_c,Cgl0084 and Cgl0085 and Cgl0086,-20.0,eQuilibrator_API
ARGSS,asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c,Cgl1400,14.0,eQuilibrator_API
CG_biomass_cgl_ATCC13032,0.098705 arabino_c + 47.7 atp_c + 0.01039 dna_c + 47.7 h2o_c + 0.062224 ions_c + 0.10598 mycoli_c + 0.098705 peptid_c + 0.029092 phosph_c + 0.54028 protein_c + 0.05195 rna_c + 0.002679 soluble_pool_c --> 47.7 adp_c + biomass_c + 47.7 h_c + 47.7 pi_c,,14.0,eQuilibrator_API
BAMPN,apo_c + btamp_c --> amp_c + bccp_c + h_c,,14.0,eQuilibrator_API
BIOTIN_t,atp_c + btn_e + h2o_c --> adp_c + btn_c + h_c + pi_c,,-30.61,eQuilibrator_API
ALAALAr,2.0 ala__D_c + atp_c --> adp_c + alaala_c + h_c + pi_c,Cgl1321,-29.0,eQuilibrator_API
CDPDAG,ctp_c + pa_c --> cdpdag_c + ppi_c,,-29.0,eQuilibrator_API
CLPN,apg_c --> clpn_c + glyc_c + pi_c,,-29.0,eQuilibrator_API
FACOAL160t2pp_num1,atp_c + coa_c + h_e + hdca_e --> amp_c + h_c + pmtcoa_c + ppi_c,Cgl0400 and Cgl2296,-16.0,eQuilibrator_API
FACOAL180t2pp_num1,atp_c + coa_c + h_e + ocdca_e --> amp_c + h_c + ppi_c + stcoa_c,Cgl0400 and Cgl2296,-14.6,eQuilibrator_API
FACOAL80t2pp_num1,atp_c + coa_c + h_e + octa_e --> amp_c + h_c + occoa_c + ppi_c,Cgl0400 and Cgl2296,-14.6,eQuilibrator_API
G1PACT,accoa_c + gam1p_c --> acgam1p_c + coa_c + h_c,Cgl0943,-25.0,eQuilibrator_API
GF6PTA,f6p_c + gln__L_c --> gam6p_c + glu__L_c,Cgl2271,-16.3,eQuilibrator_API
GLUR,glu__D_c --> glu__L_c,Cgl2509,-0.5,eQuilibrator_API
INPTH,g6p_c --> mi1p__D_c,Cgl2996,-60.0,eQuilibrator_API
MI1PP_num1,h2o_c + mi1p__D_c --> inost_c + pi_c,Cgl1909,-23.1,eQuilibrator_API
PGAMT,gam1p_c --> gam6p_c,Cgl0583,-3.4,eQuilibrator_API
PIM,pit_c --> pim_c,,-3.4,eQuilibrator_API
PIT,cdpdag_c --> pit_c,,-3.4,eQuilibrator_API
TDPGDH_num1,dtdpglu_c --> dtdp4d6dg_c + h2o_c,Cgl0323,-47.5,eQuilibrator_API
UAAGDS,26dap__M_c + atp_c + uamag_c --> adp_c + h_c + pi_c + ugmd_c,Cgl2163,-25.1,eQuilibrator_API
UAGCVT_num1,pep_c + uacgam_c --> pi_c + uaccg_c,Cgl0352,-14.0,eQuilibrator_API
UAGDP,acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c,Cgl0943,-10.1,eQuilibrator_API
UAGPT3,uacgam_c + uagmda_c --> h_c + uaagmda_c + udp_c,Cgl2158,-15.7,eQuilibrator_API
UAMAGS,atp_c + glu__D_c + uama_c --> adp_c + h_c + pi_c + uamag_c,Cgl2160,-32.6,eQuilibrator_API
UAMAS,ala__L_c + atp_c + uamr_c --> adp_c + h_c + pi_c + uama_c,Cgl2157,-31.4,eQuilibrator_API
UAMDH_num1,h_c + nadph_c + uaccg_c --> nadp_c + uamr_c,Cgl0353,-54.6,eQuilibrator_API
UDCPDP,h2o_c + udcpdp_c --> h_c + pi_c + udcpp_c,Cgl1515,-36.3,eQuilibrator_API
UDPGALM,udpgal_c --> udpgalfur_c,Cgl2888,2.7,eQuilibrator_API
UDPGD_num1,h2o_c + 2.0 nad_c + udpg_c --> 3.0 h_c + 2.0 nadh_c + udpglcur_c,Cgl0360,-31.5,eQuilibrator_API
UGMDDS,alaala_c + atp_c + ugmd_c --> adp_c + h_c + pi_c + ugmda_c,Cgl2162,-33.8,eQuilibrator_API
G1PTT,dttp_c + g1p_c + h_c --> dtdpglu_c + ppi_c,Cgl0332,1.8,eQuilibrator_API
GALUi_num1,g1p_c + h_c + utp_c --> ppi_c + udpg_c,Cgl0367,-3.2,eQuilibrator_API
PAPPT3,udcpp_c + ugmda_c --> uagmda_c + ump_c,Cgl2161,-1.7,eQuilibrator_API
ACONTa,cit_c --> acon_C_c + h2o_c,Cgl1540,9.2,eQuilibrator_API
ACONTb,acon_C_c + h2o_c --> icit_c,Cgl1540,-1.4,eQuilibrator_API
AKGDH,akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c,Cgl1129 and Cgl0366 and Cgl2207 and Cgl2248,-29.0,eQuilibrator_API
CITL,cit_c --> ac_c + oaa_c,Cgl0862,4.2,eQuilibrator_API
CS_num1,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,Cgl0696,-40.0,eQuilibrator_API
FRD2,fum_c + mql8_c --> mqn8_c + succ_c,Cgl0370 and Cgl0371 and Cgl0372,-34.0,eQuilibrator_API
FRD3,2dmmql8_c + fum_c --> 2dmmq8_c + succ_c,Cgl0370 and Cgl0371 and Cgl0372,-12.0,eQuilibrator_API
FUM,fum_c + h2o_c --> mal__L_c,Cgl1010,-3.43,eQuilibrator_API
