reaction_id,equation,gpr,g0
AMPN,amp_c + h2o_c --> ade_c + r5p_c,Cgl0095,-20.2
AP5AH,ap5a_c + h2o_c --> adp_c + atp_c + 2.0 h_c,Cgl1714,-0.0
ATPHs,atp_c + h2o_c + h_c --> itp_c + nh4_c,,-51.1
CYTDK2,cytd_c + gtp_c --> cmp_c + gdp_c + h_c,,-14.3
CYTK1,atp_c + cmp_c --> adp_c + cdp_c,Cgl1427,2.0
CYTK2,atp_c + dcmp_c --> adp_c + dcdp_c,Cgl1427,2.0
DCTPD_num1,dctp_c + h2o_c + h_c --> dutp_c + nh4_c,Cgl2848,-29.4
DGK1,atp_c + dgmp_c --> adp_c + dgdp_c,Cgl1606,5.3
DTMPK,atp_c + dtmp_c --> adp_c + dtdp_c,Cgl0753,-2.3
DURIK1,atp_c + duri_c --> adp_c + dump_c + h_c,,-17.1
DUTPDP,dutp_c + h2o_c --> dump_c + h_c + ppi_c,Cgl1905,-44.9
GK1,atp_c + gmp_c --> adp_c + gdp_c,Cgl1606,-0.1
GP4GH,gp4g_c + h2o_c --> 2.0 gdp_c + 2.0 h_c,Cgl1002 and Cgl1003,-55.0
GSNHYDRO_num1,gsn_c + h2o_c --> gua_c + rib__D_c,Cgl1143,-2.6
GSNK,atp_c + gsn_c --> adp_c + gmp_c + h_c,,-22.8
GTPHs,gtp_c + h2o_c + h_c --> nh4_c + xtp_c,,0.0
GUAPRT,gua_c + prpp_c --> gmp_c + ppi_c,Cgl2697,-34.7
HXPRT_num1,hxan_c + prpp_c --> imp_c + ppi_c,Cgl2698,-32.1
INSH,h2o_c + ins_c --> hxan_c + rib__D_c,Cgl2835,-7.5
NDPK1,atp_c + gdp_c --> adp_c + gtp_c,Cgl2370,-2.2
NDPK2,atp_c + udp_c --> adp_c + utp_c,Cgl2370,0.5
NDPK3,atp_c + cdp_c --> adp_c + ctp_c,Cgl2370,0.3
NDPK4,atp_c + dtdp_c --> adp_c + dttp_c,Cgl2370,0.8
NDPK5,atp_c + dgdp_c --> adp_c + dgtp_c,Cgl2370,1.7
NDPK6,atp_c + dudp_c --> adp_c + dutp_c,Cgl2370,-1.1
NDPK7,atp_c + dcdp_c --> adp_c + dctp_c,Cgl2370,3.8
NDPK8,atp_c + dadp_c --> adp_c + datp_c,Cgl2370,2.5
NNATr,atp_c + h_c + nicrnt_c --> dnad_c + ppi_c,Cgl2352,-25.0
NTD1,dump_c + h2o_c --> duri_c + pi_c,Cgl0328,-13.5
NTD10,h2o_c + xmp_c --> pi_c + xtsn_c,Cgl0328,-11.7
NTD11,h2o_c + imp_c --> ins_c + pi_c,Cgl0328,-5.6
NTD12,dimp_c + h2o_c --> din_c + pi_c,Cgl0328,-17.4
NTD2,h2o_c + ump_c --> pi_c + uri_c,Cgl0328,-9.0
NTD3,dcmp_c + h2o_c --> dcyt_c + pi_c,Cgl0328,-16.6
NTD4,cmp_c + h2o_c --> cytd_c + pi_c,Cgl0328,-14.1
NTD5,dtmp_c + h2o_c --> pi_c + thymd_c,Cgl0328,-9.4
NTD6,damp_c + h2o_c --> dad_2_c + pi_c,Cgl0328,-16.3
NTD7,amp_c + h2o_c --> adn_c + pi_c,Cgl0328,-14.7
NTD8,dgmp_c + h2o_c --> dgsn_c + pi_c,Cgl0328,-14.4
NTD9,gmp_c + h2o_c --> gsn_c + pi_c,Cgl0328,-7.8
NTPP1,dgtp_c + h2o_c --> dgmp_c + h_c + ppi_c,Cgl2500,-52.5
NTPP10,ditp_c + h2o_c --> dimp_c + h_c + ppi_c,Cgl2500,-58.2
NTPP11,h2o_c + xtp_c --> h_c + ppi_c + xmp_c,Cgl2500,-58.2
NTPP3,dctp_c + h2o_c --> dcmp_c + h_c + ppi_c,Cgl2500,-51.4
NTPP4,ctp_c + h2o_c --> cmp_c + h_c + ppi_c,Cgl2500,-47.8
NTPP5,datp_c + h2o_c --> damp_c + h_c + ppi_c,Cgl2500,-51.3
NTPP9,h2o_c + itp_c --> h_c + imp_c + ppi_c,Cgl2500,-22.7
NTPTP1,dgtp_c + h2o_c --> dgsn_c + pppi_c,Cgl2273,-0.0
NTPTP2,gtp_c + h2o_c --> gsn_c + pppi_c,Cgl2273,-0.0
RNDR1,adp_c + trdrd_c --> dadp_c + h2o_c + trdox_c,Cgl2525 and Cgl2530,-43.0
RNDR1b,adp_c + grxrd_c --> dadp_c + grxox_c + h2o_c,Cgl2530,0.0
RNDR2,gdp_c + trdrd_c --> dgdp_c + h2o_c + trdox_c,Cgl2525 and Cgl2530,-39.1
RNDR2b,gdp_c + grxrd_c --> dgdp_c + grxox_c + h2o_c,Cgl2530,0.0
RNDR3,cdp_c + trdrd_c --> dcdp_c + h2o_c + trdox_c,Cgl2525 and Cgl2530,-39.8
RNDR3b,cdp_c + grxrd_c --> dcdp_c + grxox_c + h2o_c,Cgl2530,0.0
RNDR4,trdrd_c + udp_c --> dudp_c + h2o_c + trdox_c,Cgl2525 and Cgl2530,-43.7
RNDR4b,grxrd_c + udp_c --> dudp_c + grxox_c + h2o_c,Cgl2530,0.0
RNTR2c,fldrd_c + gtp_c --> dgtp_c + fldox_c + h2o_c,Cgl0205,0.0
RNTR3c,ctp_c + fldrd_c --> dctp_c + fldox_c + h2o_c,Cgl0205,0.0
RNTR4c,fldrd_c + utp_c --> dutp_c + fldox_c + h2o_c,Cgl0205,0.0
TMDS,dump_c + mlthf_c --> dhf_c + dtmp_c,Cgl0844,-45.3
UMPK,atp_c + ump_c --> adp_c + udp_c,Cgl2024,0.4
UPPRT_num1,prpp_c + ura_c --> ppi_c + ump_c,Cgl0684,-24.0
URIDK2r,atp_c + dump_c --> adp_c + dudp_c,Cgl0753,0.6
XTSNH_num1,h2o_c + xtsn_c --> rib__D_c + xan_c,Cgl1391,-3.7
NTP1,atp_c + h2o_c --> adp_c + h_c + pi_c,,-30.61
NTP10,h2o_c + itp_c --> h_c + idp_c + pi_c,,-31.9
NTP11,ditp_c + h2o_c --> didp_c + h_c + pi_c,,-37.8
NTP12,h2o_c + xtp_c --> h_c + pi_c + xdp_c,,-37.8
NTP3,gtp_c + h2o_c --> gdp_c + h_c + pi_c,,-28.4
NTP5,ctp_c + h2o_c --> cdp_c + h_c + pi_c,,-30.9
NTPP2,gtp_c + h2o_c --> gmp_c + h_c + ppi_c,Cgl2500,-43.1
NTPP6,atp_c + h2o_c --> amp_c + h_c + ppi_c,Cgl2500,-46.0
NTPP7,dttp_c + h2o_c --> dtmp_c + h_c + ppi_c,Cgl2500,-44.1
NTPP8,h2o_c + utp_c --> h_c + ppi_c + ump_c,Cgl2500,-46.0
ATPS4rpp,adp_c + 4.0 h_e + pi_c --> atp_c + h2o_c + 3.0 h_c,Cgl1213 and Cgl1211 and Cgl1210 and Cgl1208 and Cgl1212 and Cgl1209 and Cgl1207 and Cgl1206,30.61
CAT,2.0 h2o2_c --> 2.0 h2o_c + o2_c,Cgl0255,-192.0
CRNCAL2,atp_c + coa_c + crn_c --> adp_c + crncoa_c + pi_c,Cgl1198,5.4
CRNDCAL2,atp_c + coa_c + crn__D_c --> adp_c + crnDcoa_c + pi_c,Cgl1198,8.1
CTBTCAL2,atp_c + coa_c + ctbt_c --> adp_c + ctbtcoa_c + pi_c,Cgl1198,-347.7
CYTBD2pp,2.0 h_c + mql8_c + 0.5 o2_c --> h2o_c + 2.0 h_e + mqn8_c,Cgl2194 and Cgl2523 and Cgl2195 and Cgl2192,-201.0
CYTBDpp,2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_e + q8_c,Cgl2194 and Cgl2523 and Cgl2195 and Cgl2192,-94.0
CYTBO3_4pp,4.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 4.0 h_e + q8_c,Cgl2194 and Cgl2523 and Cgl2195 and Cgl2192,-94.0
DMSOR1pp,dmso_e + mql8_c --> dms_e + h2o_e + mqn8_c,,-224.0
DMSOR2pp,2dmmql8_c + dmso_e --> 2dmmq8_c + dms_e + h2o_e,,-202.0
FDH4pp_num1,for_e + 2.0 h_c + q8_c --> co2_c + h_e + q8h2_c,Cgl0527,-145.0
FDH5pp_num1,for_e + 2.0 h_c + mqn8_c --> co2_c + h_e + mql8_c,Cgl0527,-37.0
G3PD5,glyc3p_c + q8_c --> dhap_c + q8h2_c,Cgl1646,-109.0
G3PD6,glyc3p_c + mqn8_c --> dhap_c + mql8_c,,-1.0
G3PD7,2dmmq8_c + glyc3p_c --> 2dmmql8_c + dhap_c,,-24.0
HYD1pp,h2_c + 2.0 h_c + q8_c --> 2.0 h_e + q8h2_c,,-170.0
HYD2pp,h2_c + 2.0 h_c + mqn8_c --> 2.0 h_e + mql8_c,,-63.0
HYD3pp,2dmmq8_c + h2_c + 2.0 h_c --> 2dmmql8_c + 2.0 h_e,,-85.0
LDH_D2,lac__D_c + q8_c --> pyr_c + q8h2_c,Cgl0901,-111.0
NADH10,h_c + mqn8_c + nadh_c --> mql8_c + nad_c,Cgl1465,-23.0
NADH16pp,4.0 h_c + nadh_c + q8_c --> 3.0 h_e + nad_c + q8h2_c,Cgl2729 and Cgl2731 and Cgl0269,-131.0
NADH17pp,4.0 h_c + mqn8_c + nadh_c --> 3.0 h_e + mql8_c + nad_c,Cgl2729 and Cgl2731 and Cgl0269,-23.0
NADH18pp,2dmmq8_c + 4.0 h_c + nadh_c --> 2dmmql8_c + 3.0 h_e + nad_c,Cgl2729 and Cgl2731 and Cgl0269,-45.0
NADH5,h_c + nadh_c + q8_c --> nad_c + q8h2_c,Cgl0335,-131.0
NADH9,2dmmq8_c + h_c + nadh_c --> 2dmmql8_c + nad_c,,-45.0
NADPHQR2_num1,h_c + nadph_c + q8_c --> nadp_c + q8h2_c,Cgl1572,-131.0
NADPHQR3_num1,h_c + mqn8_c + nadph_c --> mql8_c + nadp_c,Cgl1572,-23.0
NADPHQR4_num1,2dmmq8_c + h_c + nadph_c --> 2dmmql8_c + nadp_c,Cgl1572,-46.0
NO3R1pp,2.0 h_c + no3_c + q8h2_c --> h2o_c + 2.0 h_e + no2_c + q8_c,Cgl1186 and Cgl1187 and Cgl1188 and Cgl1189,-5.0
NO3R2pp,2.0 h_c + mql8_c + no3_c --> h2o_c + 2.0 h_e + mqn8_c + no2_c,,-112.0
NTRIR2x,5.0 h_c + 3.0 nadh_c + no2_c --> 2.0 h2o_c + 3.0 nad_c + nh4_c,,-374.0
POX,h2o_c + pyr_c + q8_c --> ac_c + co2_c + q8h2_c,Cgl2610,-201.0
PPKr,atp_c + pi_c --> adp_c + ppi_c,,-14.87
SPODM,2.0 h_c + 2.0 o2s_c --> h2o2_c + o2_c,Cgl2927,0.0
SUCDi,q8_c + succ_c --> fum_c + q8h2_c,,-74.0
TMAOR1pp,h_e + mql8_c + tmao_e --> h2o_e + mqn8_c + tma_e,,-214.0
TMAOR2pp,2dmmql8_c + h_e + tmao_e --> 2dmmq8_c + h2o_e + tma_e,,-191.0
TRDR,h_c + nadph_c + trdox_c --> nadp_c + trdrd_c,Cgl3090 and Cgl2976,-6.4
L_LACD2,lac__L_c + q8_c --> pyr_c + q8h2_c,Cgl2918,-108.0
L_LACD3,lac__L_c + mqn8_c --> mql8_c + pyr_c,Cgl2918,-0.0
G6PDH2r,g6p_c + nadp_c --> 6pgl_c + h_c + nadph_c,Cgl1576,-7.6
GND,6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c,Cgl1452,10.4
PGL,6pgl_c + h2o_c --> 6pgc_c + h_c,Cgl1578,-26.3
RPE,ru5p__D_c --> xu5p__D_c,Cgl1598,-3.4
RPI,r5p_c --> ru5p__D_c,Cgl2423,4.5
TALA,g3p_c + s7p_c --> e4p_c + f6p_c,Cgl1575,-1.2
TKT1,r5p_c + xu5p__D_c --> g3p_c + s7p_c,Cgl1574,-1.5
TKT2,e4p_c + xu5p__D_c --> f6p_c + g3p_c,Cgl1575,-10.5
ADSL1r,dcamp_c --> amp_c + fum_c,Cgl2598,17.0
ADSL2r,25aics_c --> aicar_c + fum_c,Cgl2598,24.8
ADSS,asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c,Cgl2766,-3.8
AICART,10fthf_c + aicar_c --> fprica_c + thf_c,Cgl0861,14.0
AIRC2,air_c + atp_c + hco3_c --> 5caiz_c + adp_c + h_c + pi_c,Cgl0711,-57.0
AIRC3,5aizc_c --> 5caiz_c,Cgl0714,-30.0
ASPCT,asp__L_c + cbp_c --> cbasp_c + h_c + pi_c,Cgl1612,-23.0
CTPS2,atp_c + gln__L_c + h2o_c + utp_c --> adp_c + ctp_c + glu__L_c + 2.0 h_c + pi_c,Cgl1417,-24.4
DHORD2,dhor__S_c + q8_c --> orot_c + q8h2_c,Cgl1518,-125.0
DHORD5,dhor__S_c + mqn8_c --> mql8_c + orot_c,Cgl1518,-18.0
DHORTS,dhor__S_c + h2o_c --> cbasp_c + h_c,Cgl1612,-8.4
GARFT,10fthf_c + gar_c --> fgam_c + h_c + thf_c,Cgl0860 and Cgl2759,1.0
GART,atp_c + for_c + gar_c --> adp_c + fgam_c + h_c + pi_c,,-4.0
GLUPRT,gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c,Cgl2584,-67.7
GMPS2,atp_c + gln__L_c + h2o_c + xmp_c --> amp_c + glu__L_c + gmp_c + 2.0 h_c + ppi_c,Cgl0607,-0.0
IMPC,h2o_c + imp_c --> fprica_c,,20.0
IMPD_num1,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,Cgl0603,15.0
OMPDC,h_c + orot5p_c --> co2_c + ump_c,Cgl1608,-22.0
ORPT,orot5p_c + ppi_c --> orot_c + prpp_c,Cgl2773,-1.7
PRAGSr,atp_c + gly_c + pram_c --> adp_c + gar_c + h_c + pi_c,Cgl2600,-27.5
PRAIS,atp_c + fpram_c --> adp_c + air_c + 2.0 h_c + pi_c,Cgl2583,-0.0
PRASCSi,5aizc_c + asp__L_c + atp_c --> 25aics_c + adp_c + h_c + pi_c,Cgl2597,-80.0
PRFGS,atp_c + fgam_c + gln__L_c + h2o_c --> adp_c + fpram_c + glu__L_c + h_c + pi_c,Cgl2588 and Cgl2589 and Cgl2590,0.0
ACALD,acald_c + coa_c + nad_c --> accoa_c + h_c + nadh_c,Cgl0319,-22.3
ACKr,ac_c + atp_c --> actp_c + adp_c,Cgl2752,14.6
ALCD2x_num1,etoh_c + nad_c --> acald_c + h_c + nadh_c,Cgl2807,16.98
FHL,for_c + h_c --> co2_c + h2_c,Cgl1512 and Cgl2570 and Cgl2355,26.0
LDH_D,lac__D_c + nad_c --> h_c + nadh_c + pyr_c,Cgl0901,19.5
OAADC,h_c + oaa_c --> co2_c + pyr_c,,-13.3
PTAr,accoa_c + pi_c --> actp_c + coa_c,Cgl2753,9.4
LDH,h_c + nadh_c + pyr_c --> lac__L_c + nad_c,Cgl2911,-22.6
ASAD,aspsa_c + nadp_c + pi_c --> 4pasp_c + h_c + nadph_c,Cgl0252,-25.4
ASPK,asp__L_c + atp_c --> 4pasp_c + adp_c,Cgl0251,21.8
DAPDC_num1,26dap__M_c + h_c --> co2_c + lys__L_c,Cgl1180,-14.0
DAPDH,2.0 h_c + nadph_c + nh4_c + thdp_c --> 26dap__M_c + nadp_c,Cgl2617,30.0
DAPE,26dap_LL_c --> 26dap__M_c,Cgl1943,-1.7
DHDPRy,23dhdp_c + h_c + nadph_c --> nadp_c + thdp_c,Cgl1973,-20.0
DHDPS,aspsa_c + pyr_c --> 23dhdp_c + 2.0 h2o_c + h_c,Cgl1971,-129.0
HSDy,hom__L_c + nadp_c --> aspsa_c + h_c + nadph_c,Cgl1183,18.6
HSK,atp_c + hom__L_c --> adp_c + h_c + phom_c,Cgl1183 and Cgl1184,-40.0
SDPDS,h2o_c + sl26da_c --> 26dap_LL_c + succ_c,Cgl1109,8.0
SDPTA,akg_c + sl26da_c --> glu__L_c + sl2a6o_c,Cgl0814,-1.3
THDPS_num1,h2o_c + succoa_c + thdp_c --> coa_c + sl2a6o_c,Cgl1106,26.0
THRS,h2o_c + phom_c --> pi_c + thr__L_c,Cgl2220,-29.7
26DAHtex,26dap__M_e --> 26dap__M_c,,0.0
3AMPtex,3amp_e --> 3amp_c,,0.0
3CMPtex,3cmp_e --> 3cmp_c,,0.0
3GMPtex,3gmp_e --> 3gmp_c,,0.0
3UMPtex,3ump_e --> 3ump_c,,0.0
ABUTt2pp,4abut_e + h_e --> 4abut_c + h_c,Cgl1027,0.0
ABUTtex,4abut_e --> 4abut_c,Cgl1027,0.0
ACALDtpp,acald_e --> acald_c,,0.0
ACGAM1Ptex,acgam1p_e --> acgam1p_c,,0.0
ACGAptspp,acgam_e + pep_c --> acgam6p_c + pyr_c,Cgl3036,-37.4
ACGAtex,acgam_e --> acgam_c,,0.0
ACMANAptspp_num1,acmana_e + pep_c --> acmanap_c + pyr_c,Cgl1933,-38.9
ACMANAtex,acmana_e --> acmana_c,,0.0
ACMUMptspp_num1,acmum_e + pep_c --> acmum6p_c + pyr_c,Cgl1933,-42.4
ACSERtex,acser_e --> acser_c,,0.0
ACt2rpp,ac_e + h_e --> ac_c + h_c,Cgl0833,0.0
ADEt2rpp,ade_e + h_e --> ade_c + h_c,,0.0
ADNt2rpp,adn_e + h_e --> adn_c + h_c,,0.0
AKGt2rpp,akg_e + h_e --> akg_c + h_c,,0.0
ALAabcpp,ala__L_e + atp_c + h2o_c --> adp_c + ala__L_c + h_c + pi_c,Cgl0407,-30.61
ALAALAabcpp,alaala_e + atp_c + h2o_c --> adp_c + alaala_c + h_c + pi_c,,-30.61
ALAALAtex,alaala_e --> alaala_c,,0.0
ALAtex,ala__L_e --> ala__L_c,,0.0
AMPtex,amp_e --> amp_c,,0.0
ARBabcpp,arab__L_e + atp_c + h2o_c --> adp_c + arab__L_c + h_c + pi_c,Cgl0288 and Cgl0407,-30.61
ARBt3ipp,arab__L_c + h_e --> arab__L_e + h_c,Cgl1253,0.0
ARBTptspp,arbt_e + pep_c --> arbt6p_c + pyr_c,Cgl2470,-39.9
ARGabcpp,arg__L_e + atp_c + h2o_c --> adp_c + arg__L_c + h_c + pi_c,,-30.61
ARGORNt7pp,arg__L_e + orn_c --> arg__L_c + orn_e,Cgl0968,0.0
ARGt3pp,arg__L_c + h_e --> arg__L_e + h_c,,0.0
ASCBptspp,ascb__L_e + pep_c --> ascb6p_c + pyr_c,Cgl2470,-39.8
ASNabcpp,asn__L_e + atp_c + h2o_c --> adp_c + asn__L_c + h_c + pi_c,,-30.61
ASNt2rpp,asn__L_e + h_e --> asn__L_c + h_c,,0.0
ASPabcpp,asp__L_e + atp_c + h2o_c --> adp_c + asp__L_c + h_c + pi_c,,-30.61
ASPt2pp,asp__L_e + h_e --> asp__L_c + h_c,,0.0
ASPt2rpp,asp__L_e + h_e --> asp__L_c + h_c,,0.0
BALAt2pp,ala_B_e + h_e --> ala_B_c + h_c,,0.0
BALAtex,ala_B_e --> ala_B_c,,0.0
BCCPE,atp_c + bccp_e + hco3_c --> adp_c + btnco2_c + h_c + pi_c,,0.0
CGLYabcpp,atp_c + cgly_e + h2o_c --> adp_c + cgly_c + h_c + pi_c,,-30.61
CGLYtex,cgly_e --> cgly_c,,0.0
CHTBSptspp,chtbs_e + pep_c --> chtbs6p_c + pyr_c,Cgl1933,0.0
CITt3pp,cit_c + h_e --> cit_e + h_c,,0.0
CITt7pp,cit_e + succ_c --> cit_c + succ_e,Cgl0067,0.0
CITtex,cit_e --> cit_c,,0.0
CLt3_2pp,2.0 cl_e --> 2.0 cl_c + h_c,,0.0
CRNabcpp,atp_c + crn_e + h2o_c --> adp_c + crn_c + h_c + pi_c,,-30.61
CRNDabcpp,atp_c + crn__D_e + h2o_c --> adp_c + crn__D_c + h_c + pi_c,,-30.61
CRNDt2rpp,crn__D_e + h_e --> crn__D_c + h_c,,0.0
CRNt2rpp,crn_e + h_e --> crn_c + h_c,,0.0
CRNt8pp,crn__D_c + crn_e --> crn__D_e + crn_c,,0.0
CTBTabcpp,atp_c + ctbt_e + h2o_c --> adp_c + ctbt_c + h_c + pi_c,,-30.61
CTBTt2rpp,ctbt_e + h_e --> ctbt_c + h_c,Cgl3066,0.0
CUt3,cu_c + h_e --> cu_e + h_c,Cgl2962,0.0
CUtex,cu_e --> cu_c,,0.0
CYANtex,cyan_e --> cyan_c,,0.0
CYSabc2pp,atp_c + cys__L_c + h2o_c --> adp_c + cys__L_e + h_c + pi_c,,-30.61
CYSabcpp,atp_c + cys__L_e + h2o_c --> adp_c + cys__L_c + h_c + pi_c,,-30.61
CYStpp,cys__L_c --> cys__L_e,,0.0
CYTDt2pp,cytd_e + h_e --> cytd_c + h_c,,0.0
CYTDt2rpp,cytd_e + h_e --> cytd_c + h_c,,0.0
DADNtex,dad_2_e --> dad_2_c,,0.0
DALAt2pp,ala__D_e + h_e --> ala__D_c + h_c,Cgl0470,0.0
DALAtex,ala__D_e --> ala__D_c,,0.0
DAMPtex,damp_e --> damp_c,,0.0
DAPabcpp,26dap__M_e + atp_c + h2o_c --> 26dap__M_c + adp_c + h_c + pi_c,,-30.61
DCMPtex,dcmp_e --> dcmp_c,,0.0
DCYTtex,dcyt_e --> dcyt_c,,0.0
DGMPtex,dgmp_e --> dgmp_c,,0.0
DGSNtex,dgsn_e --> dgsn_c,,0.0
DHAtpp,dha_e --> dha_c,,0.0
DIMPtex,dimp_e --> dimp_c,,0.0
DINStex,din_e --> din_c,,0.0
D_LACt2pp,h_e + lac__D_e --> h_c + lac__D_c,,0.0
DMSOtex,dmso_e --> dmso_c,,0.0
DMStex,dms_e --> dms_c,,0.0
DSERt2pp,h_e + ser__D_e --> h_c + ser__D_c,Cgl0470,0.0
DTMPtex,dtmp_e --> dtmp_c,,0.0
DUMPtex,dump_e --> dump_c,,0.0
DURIt2pp,duri_e + h_e --> duri_c + h_c,,0.0
DURItex,duri_e --> duri_c,,0.0
ETHAtex,etha_e --> etha_c,,0.0
ETOHtrpp,etoh_e --> etoh_c,,0.0
F6Pt6_2pp,f6p_e + 2.0 pi_c --> f6p_c + 2.0 pi_e,,0.0
F6Ptex,f6p_e --> f6p_c,,0.0
FE3DHBZStonex,fe3dhbzs_c + h_e --> fe3dhbzs_e + h_c,Cgl0068,0.0
FE3tex,fe3_e --> fe3_c,,0.0
FRUpts2pp,fru_e + pep_c --> f6p_c + pyr_c,Cgl1933,-43.1
FRUtex,fru_e --> fru_c,,0.0
FRUURt2rpp,fruur_e + h_e --> fruur_c + h_c,Cgl2908,0.0
FUMt2_2pp,fum_e + 2.0 h_e --> fum_c + 2.0 h_c,Cgl2595,0.0
FUMt2_3pp,fum_e + 3.0 h_e --> fum_c + 3.0 h_c,,0.0
FUMtex,fum_e --> fum_c,,0.0
G1Ptex,g1p_e --> g1p_c,,0.0
G3PCabcpp,atp_c + g3pc_e + h2o_c --> adp_c + g3pc_c + h_c + pi_c,Cgl1383 and Cgl1384 and Cgl1385 and Cgl1386,-30.61
G3PEabcpp,atp_c + g3pe_e + h2o_c --> adp_c + g3pe_c + h_c + pi_c,Cgl1383 and Cgl1384 and Cgl1385 and Cgl1386,-30.61
G3PEtex,g3pe_e --> g3pe_c,,0.0
G3PGabcpp,atp_c + g3pg_e + h2o_c --> adp_c + g3pg_c + h_c + pi_c,Cgl1383 and Cgl1384 and Cgl1385 and Cgl1386,-30.61
G3PGtex,g3pg_e --> g3pg_c,,0.0
G3PIabcpp,atp_c + g3pi_e + h2o_c --> adp_c + g3pi_c + h_c + pi_c,Cgl1383 and Cgl1384 and Cgl1385 and Cgl1386,-30.61
G3PItex,g3pi_e --> g3pi_c,,0.0
G3PSabcpp,atp_c + g3ps_e + h2o_c --> adp_c + g3ps_c + h_c + pi_c,Cgl1383 and Cgl1384 and Cgl1385 and Cgl1386,-30.61
G3PStex,g3ps_e --> g3ps_c,,0.0
G6Pt6_2pp,g6p_e + 2.0 pi_c --> g6p_c + 2.0 pi_e,,0.0
G6Ptex,g6p_e --> g6p_c,,0.0
GAL1Ptex,gal1p_e --> gal1p_c,,0.0
GALTptspp,galt_e + pep_c --> galt1p_c + pyr_c,Cgl1933,-43.7
GAM6Pt6_2pp,gam6p_e + 2.0 pi_c --> gam6p_c + 2.0 pi_e,,0.0
GAMAN6Ptex,gam6p_e --> gam6p_c,,0.0
GAMptspp,gam_e + pep_c --> gam6p_c + pyr_c,Cgl1933,-37.3
GAMtex,gam_e --> gam_c,,0.0
GLCabcpp,atp_c + glc__D_e + h2o_c --> adp_c + glc__D_c + h_c + pi_c,Cgl0030 and Cgl0031 and Cgl0032,-30.61
GLCNt2rpp,glcn_e + h_e --> glcn_c + h_c,,0.0
GLCptspp,glc__D_e + pep_c --> g6p_c + pyr_c,Cgl3036,-45.7
GLCUR1Ptex,glcur1p_e --> glcur1p_c,,0.0
GLCURt2rpp,glcur_e + h_e --> glcur_c + h_c,,0.0
GLNabcpp,atp_c + gln__L_e + h2o_c --> adp_c + gln__L_c + h_c + pi_c,,-30.61
GLNt2rpp,gln__L_e + h_e --> gln__L_c + h_c,,0.0
GLUabcpp,atp_c + glu__L_e + h2o_c --> adp_c + glu__L_c + h_c + pi_c,Cgl1951 and Cgl1950 and Cgl1952 and Cgl1953,-30.61
GLUt4pp,glu__L_e + na1_e --> glu__L_c + na1_c,,0.0
GLUtex,glu__L_e --> glu__L_c,,0.0
GLYALDtpp,glyald_e --> glyald_c,,0.0
GLYBabcpp_num1,atp_c + glyb_e + h2o_c --> adp_c + glyb_c + h_c + pi_c,Cgl0892,-30.61
GLYC2Pabcpp,atp_c + glyc2p_e + h2o_c --> adp_c + glyc2p_c + h_c + pi_c,Cgl1383 and Cgl1384 and Cgl1385 and Cgl1386,-30.61
GLYC3Pabcpp,atp_c + glyc3p_e + h2o_c --> adp_c + glyc3p_c + h_c + pi_c,Cgl1383 and Cgl1384 and Cgl1385 and Cgl1386,-30.61
GLYC3Pt6pp,glyc3p_e + pi_c --> glyc3p_c + pi_e,,0.0
GLYC3Ptex,glyc3p_e --> glyc3p_c,,0.0
GLYCAt2rpp,glyc__R_e + h_e --> glyc__R_c + h_c,,0.0
GLYCtpp,glyc_c --> glyc_e,,0.0
GLYtex,gly_e --> gly_c,,0.0
GMPtex,gmp_e --> gmp_c,,0.0
GSNt2pp,gsn_e + h_e --> gsn_c + h_c,,0.0
GSNtex,gsn_e --> gsn_c,,0.0
GTHRDabc2pp,atp_c + gthrd_c + h2o_c --> adp_c + gthrd_e + h_c + pi_c,Cgl1993 and Cgl2320 and Cgl2321 and Cgl2322,-30.61
GTHRDabcpp,atp_c + gthrd_e + h2o_c --> adp_c + gthrd_c + h_c + pi_c,,-30.61
GTHRDtex,gthrd_e --> gthrd_c,,0.0
GUAt2pp,gua_e + h_e --> gua_c + h_c,,0.0
GUAtpp,gua_e --> gua_c,,0.0
H2Otpp,h2o_e --> h2o_c,,0.0
H2St1pp,h2s_c --> h2s_e,,0.0
H2Stex,h2s_e --> h2s_c,,0.0
H2tpp,h2_e --> h2_c,,0.0
HISabcpp,atp_c + h2o_c + his__L_e --> adp_c + h_c + his__L_c + pi_c,,-30.61
HISt2rpp,h_e + his__L_e --> h_c + his__L_c,,0.0
HOMt2pp,h_e + hom__L_c --> h_c + hom__L_e,,0.0
HOMtex,hom__L_e --> hom__L_c,,0.0
HYXNtpp,hxan_e --> hxan_c,,0.0
ILEt2rpp,h_e + ile__L_e --> h_c + ile__L_c,Cgl2310,0.0
INDOLEt2pp,h_c + indole_c --> h_e + indole_e,,0.0
INDOLEt2rpp,h_e + indole_e --> h_c + indole_c,,0.0
INSt2pp,h_e + ins_e --> h_c + ins_c,,0.0
INSt2rpp,h_e + ins_e --> h_c + ins_c,,0.0
