reaction_id,equation,gpr,g0
EAR40x,but2eACP_c + h_c + nadh_c --> butACP_c + nad_c,Cgl0719,-0.0
EAR40y,but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c,Cgl0719,-0.0
EAR60x,h_c + nadh_c + thex2eACP_c --> hexACP_c + nad_c,Cgl0719,-0.0
EAR60y,h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c,Cgl0719,-0.0
EAR80x,h_c + nadh_c + toct2eACP_c --> nad_c + ocACP_c,Cgl0719,-0.0
EAR80y,h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c,Cgl0719,-0.0
FA100ACPHi_num1,dcaACP_c + h2o_c --> ACP_c + dca_c + h_c,Cgl2254,-0.0
FA120ACPHi_num1,ddcaACP_c + h2o_c --> ACP_c + ddca_c + h_c,Cgl2254,-0.0
FA140ACPHi_num1,h2o_c + myrsACP_c --> ACP_c + h_c + ttdca_c,Cgl2254,-0.0
FA141ACPHi_num1,h2o_c + tdeACP_c --> ACP_c + h_c + ttdcea_c,Cgl2254,-0.0
FA160ACPHi_num1,h2o_c + palmACP_c --> ACP_c + h_c + hdca_c,Cgl2254,0.0
FA161ACPHi_num1,h2o_c + hdeACP_c --> ACP_c + h_c + hdcea_c,Cgl2254,-0.0
FA80ACPHi_num1,h2o_c + ocACP_c --> ACP_c + h_c + octa_c,Cgl2254,0.0
FACOAL100t2pp_num1,atp_c + coa_c + dca_e + h_e --> amp_c + dcacoa_c + h_c + ppi_c,Cgl0400 and Cgl2296,-0.0
FACOAL120t2pp_num1,atp_c + coa_c + ddca_e + h_e --> amp_c + ddcacoa_c + h_c + ppi_c,Cgl0400 and Cgl2296,0.0
FACOAL140t2pp_num1,atp_c + coa_c + h_e + ttdca_e --> amp_c + h_c + ppi_c + tdcoa_c,Cgl0400 and Cgl2296,0.0
FACOAL141t2pp_num1,atp_c + coa_c + h_e + ttdcea_e --> amp_c + h_c + ppi_c + tdecoa_c,Cgl0400 and Cgl2296,-0.0
FACOAL160t2pp_num1,atp_c + coa_c + h_e + hdca_e --> amp_c + h_c + pmtcoa_c + ppi_c,Cgl0400 and Cgl2296,-16.0
FACOAL161t2pp_num1,atp_c + coa_c + h_e + hdcea_e --> amp_c + h_c + hdcoa_c + ppi_c,Cgl0400 and Cgl2296,-0.0
FACOAL180t2pp_num1,atp_c + coa_c + h_e + ocdca_e --> amp_c + h_c + ppi_c + stcoa_c,Cgl0400 and Cgl2296,-14.6
FACOAL181t2pp_num1,atp_c + coa_c + h_e + ocdcea_e --> amp_c + h_c + odecoa_c + ppi_c,Cgl0400 and Cgl2296,-0.0
FACOAL60t2pp_num1,atp_c + coa_c + h_e + hxa_e --> amp_c + h_c + hxcoa_c + ppi_c,Cgl0400 and Cgl2296,-0.0
FACOAL80t2pp_num1,atp_c + coa_c + h_e + octa_e --> amp_c + h_c + occoa_c + ppi_c,Cgl0400 and Cgl2296,-14.6
G1PACT,accoa_c + gam1p_c --> acgam1p_c + coa_c + h_c,Cgl0943,-25.0
GF6PTA,f6p_c + gln__L_c --> gam6p_c + glu__L_c,Cgl2271,-16.3
GLUR,glu__D_c --> glu__L_c,Cgl2509,-0.5
INPTH,g6p_c --> mi1p__D_c,Cgl2996,-60.0
MI1PP_num1,h2o_c + mi1p__D_c --> inost_c + pi_c,Cgl1909,-23.1
PGAMT,gam1p_c --> gam6p_c,Cgl0583,-3.4
PIM,pit_c --> pim_c,,-3.4
PIT,cdpdag_c --> pit_c,,-3.4
T2DECAI,tdec2eACP_c --> cdec3eACP_c,,0.0
TDPGDH_num1,dtdpglu_c --> dtdp4d6dg_c + h2o_c,Cgl0323,-47.5
UAAGDS,26dap__M_c + atp_c + uamag_c --> adp_c + h_c + pi_c + ugmd_c,Cgl2163,-25.1
UAGCVT_num1,pep_c + uacgam_c --> pi_c + uaccg_c,Cgl0352,-14.0
UAGDP,acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c,Cgl0943,-10.1
UAGPT3,uacgam_c + uagmda_c --> h_c + uaagmda_c + udp_c,Cgl2158,-15.7
UAMAGS,atp_c + glu__D_c + uama_c --> adp_c + h_c + pi_c + uamag_c,Cgl2160,-32.6
UAMAS,ala__L_c + atp_c + uamr_c --> adp_c + h_c + pi_c + uama_c,Cgl2157,-31.4
UAMDH_num1,h_c + nadph_c + uaccg_c --> nadp_c + uamr_c,Cgl0353,-54.6
UDCPDP,h2o_c + udcpdp_c --> h_c + pi_c + udcpp_c,Cgl1515,-36.3
UDPGALM,udpgal_c --> udpgalfur_c,Cgl2888,2.7
UDPGD_num1,h2o_c + 2.0 nad_c + udpg_c --> 3.0 h_c + 2.0 nadh_c + udpglcur_c,Cgl0360,-31.5
UGMDDS,alaala_c + atp_c + ugmd_c --> adp_c + h_c + pi_c + ugmda_c,Cgl2162,-33.8
3OAR121,3ocddec5eACP_c + h_c + nadph_c --> 3hcddec5eACP_c + nadp_c,Cgl0286 and Cgl0744,-0.0
3OAR141,3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c,Cgl0286 and Cgl0744,-0.0
3OAR161,3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c,Cgl0286 and Cgl0744,-0.0
3OAR181,3ocvac11eACP_c + h_c + nadph_c --> 3hcvac11eACP_c + nadp_c,Cgl0286 and Cgl0744,-0.0
G1PTT,dttp_c + g1p_c + h_c --> dtdpglu_c + ppi_c,Cgl0332,1.8
GALUi_num1,g1p_c + h_c + utp_c --> ppi_c + udpg_c,Cgl0367,-3.2
PAPPT3,udcpp_c + ugmda_c --> uagmda_c + ump_c,Cgl2161,-1.7
ACONTa,cit_c --> acon_C_c + h2o_c,Cgl1540,9.2
ACONTb,acon_C_c + h2o_c --> icit_c,Cgl1540,-1.4
AKGDH,akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c,Cgl1129 and Cgl0366 and Cgl2207 and Cgl2248,-29.0
CITL,cit_c --> ac_c + oaa_c,Cgl0862,4.2
CS_num1,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,Cgl0696,-40.0
FRD2,fum_c + mql8_c --> mqn8_c + succ_c,Cgl0370 and Cgl0371 and Cgl0372,-34.0
FRD3,2dmmql8_c + fum_c --> 2dmmq8_c + succ_c,Cgl0370 and Cgl0371 and Cgl0372,-12.0
FUM,fum_c + h2o_c --> mal__L_c,Cgl1010,-3.43
ICDHyr,icit_c + nadp_c --> akg_c + co2_c + nadph_c,Cgl0664,5.4
MDH,mal__L_c + nad_c --> h_c + nadh_c + oaa_c,Cgl2380,25.38
MDH2,mal__L_c + q8_c --> oaa_c + q8h2_c,Cgl2001,-105.0
MDH3,mal__L_c + mqn8_c --> mql8_c + oaa_c,Cgl2380,3.0
PYRC,atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c,Cgl0689,-7.8
SUCOAS,adp_c + pi_c + succoa_c --> atp_c + coa_c + succ_c,Cgl2566 and Cgl2565,1.8
2MAHMP,2mahmp_c + h2o_c --> 4ampm_c + h_c + pi_c,Cgl1176,-35.0
ACBIPGT,adocbip_c + gtp_c + h_c --> agdpcbi_c + ppi_c,Cgl2199,0.0
ACPS1_num1,apoACP_c + coa_c --> ACP_c + h_c + pap_c,Cgl2491,-0.0
ADCL,4adcho_c --> 4abz_c + h_c + pyr_c,Cgl2580,-92.0
ADCS,chor_c + gln__L_c --> 4adcho_c + glu__L_c,Cgl0997,-18.5
ADOCBIK,adocbi_c + atp_c --> adocbip_c + adp_c + h_c,Cgl2199,-0.0
ADOCBLS,agdpcbi_c + rdmbzi_c --> adocbl_c + gmp_c + h_c,Cgl2201,-0.0
ALATA_D2,ala__D_c + pydx5p_c --> pyam5p_c + pyr_c,Cgl0996,0.9
ALATA_L2,ala__L_c + pydx5p_c --> pyam5p_c + pyr_c,Cgl0996,0.9
AMAOTr,8aonn_c + amet_c --> amob_c + dann_c,Cgl2604,-1.774850272743
AMMQLT8,2dmmql8_c + amet_c --> ahcys_c + h_c + mql8_c,Cgl0471,-0.0
AMPMS2,air_c + h2o_c + nad_c --> 4ampm_c + 2.0 for_c + 3.0 h_c + nadh_c,Cgl1305,-186.0
ASP1DC,asp__L_c + h_c --> ala_B_c + co2_c,Cgl0135,-15.0
ASPO5,asp__L_c + fum_c --> h_c + iasp_c + succ_c,,0.1
BMOCOS_num1,moco_c + mptamp_c --> amp_c + bmoco_c + cu2_c,Cgl0212,-0.0
BTS4,amet_c + dtbt_c + s_c --> btn_c + dad_5_c + h_c + met__L_c,Cgl0072,-0.0
BWCOS_num1,mptamp_c + wco_c --> amp_c + bwco_c + cu2_c,Cgl0212,-0.0
CDPMEK,4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c,Cgl0911,-9.0
CPMPS_num1,gtp_c + h2o_c --> cpmp_c + ppi_c,Cgl1197,-0.0
CPPPGO,cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c,,-353.0
CPPPGO2,2.0 amet_c + cpppg3_c --> 2.0 co2_c + 2.0 dad_5_c + 2.0 met__L_c + pppg9_c,Cgl2292,0.0
DB4PS,ru5p__D_c --> db4p_c + for_c + h_c,Cgl1595,-89.6
DBTS,atp_c + co2_c + dann_c --> adp_c + dtbt_c + 3.0 h_c + pi_c,Cgl2605,2.0
DHFR,dhf_c + h_c + nadph_c --> nadp_c + thf_c,Cgl0843,-18.1
DHFS,atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c,Cgl2375,-21.0
DHNCOAS,h_c + sbzcoa_c --> 14dhncoa_c + h2o_c,cg2548,-0.0
DHNCOAT,14dhncoa_c + h2o_c --> coa_c + dhna_c + h_c,Cgl1664,0.0
DHPPDA2_num1,25drapp_c + h2o_c + h_c --> 5apru_c + nh4_c,Cgl1597,0.0
DHPS2_num1,4abz_c + 6hmhptpp_c --> dhpt_c + ppi_c,Cgl1111,-65.0
DHPTPE,ahdt_c --> dhmptp_c,Cgl2693,-17.0
DMATT_num1,dmpp_c + ipdp_c --> grdp_c + ppi_c,Cgl0626,-82.3
DMPPS,h2mb4p_c + h_c + nadh_c --> dmpp_c + h2o_c + nad_c,Cgl1026,-61.6
