Gene id,SRR19091940,SRR19091945,SRR19091944,SRR19091943,SRR19091942,SRR19091941
Cgl1712,3.55934324428493,3.3441089740308447,3.8087420677696495,4.786857830216809,5.163893353200971,3.279959601451819
Cgl1713,0.5764706282101684,0.5960187335912467,1.4243305157890114,3.19789235843694,3.5621739548762483,1.4777608590617386
Cgl1714,5.409623682404916,3.940787043838717,3.722479763413472,6.36385524917984,6.232282738645919,5.624437667385579
Cgl1715,6.813577548373518,3.880920682903557,4.406340773835968,7.509120980307182,7.260622562751268,6.413263050426604
Cgl1716,2.8666030828699087,1.5686305493847172,0.8552410295895216,3.4563956142506083,3.2668355024187394,1.7168758507918809
Cgl1717,3.9736696255563375,2.288037040663987,2.1289076773188658,4.829146537506598,5.037298449901832,3.663515617831664
Cgl1718,7.488329896176244,5.575956175058866,5.475711071811441,6.032673216763233,6.095622670774666,7.417978449318245
Cgl1719,2.018411200524638,0.4825573564803382,0.9859957878806817,3.0454272071388773,2.7447413534527856,2.590959388954132
Cgl1720,3.921245707660944,3.0350360564446133,2.2222892421345506,5.703857579941647,5.090563336651812,4.22034041243543
Cgl1721,0.0,2.583422907002348,2.9725444032426096,0.7079244513732411,0.0,1.2940851876062571
Cgl1722,4.446942293158294,2.771012338578857,2.8352929626927823,5.071911504602247,5.075205291503804,4.37302681307939
Cgl1723,4.8059096905748,3.856260789664528,2.491392778960888,6.247340758677411,6.335502322388206,4.635326241802229
Cgl1724,9.71065360033675,7.613912791786967,7.3307408533477245,9.64842670387878,9.220945128506076,9.635702686694112
Cgl1725,9.55722015149736,7.504262051406143,7.234891957504291,9.201315731656615,8.847621673971684,9.397160199210845
Cgl1726,5.888973185321418,4.642082433895916,5.270606369242767,6.186530407469252,6.680356539925198,6.369589780320545
Cgl1727,4.704378635908502,4.288923917097066,4.289209567236775,5.783423648885711,5.698312618445457,4.648811406502295
Cgl1728,4.669014114940984,3.943901824481522,4.177689607846655,5.285063642798292,5.458364871625964,4.702111728311984
Cgl1729,3.57118921998912,4.052079445475258,4.458897206986904,3.908962299371401,3.919177895558628,4.377229039164049
Cgl1730,3.495059906477424,3.8982803443080223,3.91549883815136,5.3252808064102615,5.883513125305663,2.9136008696469844
Cgl1731,7.218163839500179,6.405087677467575,6.164261774788676,7.853618670637928,7.963446803312746,7.070627700564287
Cgl1733,3.968059022265917,3.1805592987718723,3.1124745748154914,4.652948437365136,4.439628765156859,3.9431050584124265
Cgl1732,0.0,0.0,0.0,0.0,0.0,0.0
Cgl1734,5.765509325425327,4.122536303373977,4.1344341156698095,5.863964859893169,6.235463804504898,5.746199372125566
Cgl1735,0.0,0.7892980644515413,1.1365909543623571,2.2868504629368087,3.517898173269377,1.1831292973459109
Cgl1736,2.2364223345143617,1.5523803254644732,1.8419804213676247,2.662948508973716,2.9887467187399497,2.1285855141185848
Cgl1737,3.5947043765001583,3.705091427713125,3.4656700136275367,3.93742675035329,3.894645471187019,3.7908380823259193
Cgl1738,2.9181381309158825,4.041653175103156,3.5742799974730617,4.262686863777674,4.8599731610473205,2.685555677496269
Cgl1739,2.56906672279938,2.845060050345587,2.9068707722218914,5.057564020619355,5.1199613443337455,2.695862071879136
Cgl1740,3.716855367249373,3.77977095892032,3.4234725089036337,5.695758676493803,5.878554441158463,3.741697968892522
Cgl1741,0.0,1.2619568627702338,2.058083477511936,3.3662174128948785,3.7597875065307536,2.2202000981174748
Cgl1742,5.705742499803946,5.199135398649172,5.098723460983323,7.116668486049438,7.396713449179809,5.69643632795077
Cgl1743,1.7207096087164702,3.2539204115578224,2.9137485786111768,4.172242261176562,4.1937743708202815,2.194130359978193
Cgl1744,1.3775894774506117,4.990676696846814,4.124167982716076,4.046105524413779,4.517627913914847,2.6047238996537607
Cgl1745,2.3248080778183136,5.180487685906289,4.50880182773262,4.352193982725264,4.080121764162817,2.978553442759788
Cgl1746,8.663268695800893,10.469171986240966,9.578784913781393,8.178722673344213,8.758681532122992,8.948807556461944
