geneid,cond1,cond2,cond3,cond4,cond5,cond6
Cgl1076,1.26,0.41,0.28,20.88,28.85,15.57
Cgl1077,0.69,0.75,1.24,17.62,24.25,10.61
Cgl1078,1.68,1.47,1.82,3.12,5.22,2.33
Cgl1079,0.61,2.26,1.1,2.41,2.76,3.08
Cgl1080,0.27,0.24,1.7,2.21,1.79,0.53
Cgl1081,0,0,0,0,0.68,0
Cgl1082,1.35,0.51,0.52,1.9,1.03,1.82
Cgl1083,6.07,1.27,5.22,12.79,15.88,4.29
Cgl1084,5.89,3.2,6.59,61.65,80.48,28.35
Cgl1085,42.51,33.39,44.75,101.75,111.34,72.47
Cgl1086,222.9,85.73,165.85,3563.1,4221.13,1039.42
Cgl1087,18.32,11.45,20.06,121.17,118.83,69.13
Cgl1088,30.01,20.72,23.64,395.71,414.8,171.41
Cgl1089,1.35,0,1.43,3.7,4,1.23
Cgl1090,25.39,12.1,19.94,110.14,126.28,47.02
Cgl1092,17.23,12.82,7.07,45.97,42.37,19.4
Cgl1093,102.69,91.77,127.03,381,381.16,228.4
Cgl1094,2.93,1.54,5.29,74.23,54.23,23.77
Cgl1095,12.53,10.39,16.06,46.37,34.9,25.49
Cgl1096,46.02,29.11,45.99,152.59,210.37,93.04
Cgl1097,43.18,34.88,48.75,398.02,272.79,155.9
Cgl1098,140.04,109.47,135.7,504.32,740.29,253.84
Cgl1099,12.48,8.49,12.67,39.42,35.64,20.01
Cgl1100,38.03,15.76,33.92,41.58,44.79,30.74
Cgl1101,32.47,27.18,36.88,27.97,22.9,28.75
Cgl1102,19.21,10.67,12.15,89.99,92.29,33.94
Cgl1103,59.41,46.44,52.65,153.51,173.98,82.06
Cgl1104,35.5,17.83,25.21,40.51,43.24,24.07
Cgl1105,6.46,3.37,7.09,24.14,11.99,9.68
Cgl1106,290.93,175.03,289.3,992.03,715.44,501.71
Cgl1107,29.12,20.92,27.62,29.84,29.91,16.45
Cgl1108,23.56,10.71,28.24,208.64,318.86,84.23
Cgl1109,30.64,18.35,25.69,79.05,80.86,38.17
Cgl1110,32.49,16.68,24.81,121.75,155.07,74.98
Cgl1111,7.08,6.64,4.41,10.81,19.71,6.05
Cgl1112,3.41,1.25,4.36,21.43,18.77,4.78
