geneid,cond1,cond2,cond3,cond4,cond5,cond6
Cgl1646,117.45,82.39,117.84,165.87,223.43,99.93
Cgl1647,33.31,25.06,41.78,77.86,85.4,47.24
Cgl1648,27.92,15.58,23.5,70.07,74.55,50.28
Cgl1649,11.36,9.11,15.27,40.55,46.92,18.19
Cgl1651,193.45,70.75,206.7,518.82,502.97,152.59
Cgl1652,9.59,1.94,7.33,69.79,72.31,17.54
Cgl1653,99.65,63.53,115.14,271.22,276.56,121.83
Cgl1654,9.86,6.08,8.24,43.1,59.39,22.6
Cgl1656,11.19,8.7,12.63,29.54,38.61,17.57
Cgl1657,90.91,72.22,109.28,144.24,223.67,84.24
Cgl1658,41.71,30.05,39.79,53.87,87.19,30.94
Cgl1659,12.24,2.93,6.03,49.89,50.58,6.62
Cgl1660,20.7,15.21,15.33,72.8,68.97,30.39
Cgl1661,2.95,0.58,2.96,15.06,12.36,8.61
Cgl1662,10.09,5.36,10.77,18.22,17.36,7.42
Cgl1663,134.44,69.23,119.23,242.72,236.15,86.07
Cgl1664,10.56,7.15,11.05,34.89,37.65,15.57
Cgl1665,18.79,13.86,26.99,49.95,59.63,15.02
Cgl1666,2.63,1.54,1.19,4.07,6.02,1.3
Cgl1667,9.94,4.44,12.2,21.94,24.95,10.68
Cgl1668,13.7,7.58,20.95,25.59,31.32,11.17
Cgl1669,63.26,54.94,72.19,91.1,89.07,89.88
Cgl1670,206.22,156.54,199.49,164.84,200.39,217.87
Cgl1671,293.41,260.36,351.57,578.62,695.2,348.9
Cgl1672,4190.58,3044.96,4843.4,604.72,718.9,673.22
Cgl1673,479.69,293.81,420.5,276.85,266.3,111.36
Cgl1674,1729.11,1363.16,1932.51,878.94,886.29,319.22
Cgl1675,0.58,1.14,1.57,1.11,1.22,1.14
Cgl1676,0.72,0,0,0.2,0.16,0
Cgl1677,1.87,0,0,0.34,0.28,0
Cgl1678,3.25,0.63,0.98,26.06,24.34,6.08
Cgl1679,44.01,21.97,44.61,162.92,190.15,131.73
Cgl1680,1.73,0.55,1,2.28,3.01,1.13
Cgl1681,5.48,5.12,7.75,3.89,3.88,5.42
Cgl1682,3.6,1.85,1.91,2.78,2.02,1.99
Cgl1683,0,0,0,0,0,0
Cgl1684,5.3,0,0,0,0,0
Cgl1685,0,2.35,0,0,0.4,0
Cgl1686,9.62,3.28,5.31,13.44,18.96,10.86
Cgl1687,8.83,0.6,10.12,58.09,39.13,7.06
Cgl1688,53.45,26.97,54.23,64.53,49.5,48.55
Cgl1690,264.96,111.36,253.39,97.91,92.9,53.99
Cgl1691,19.58,3.35,19.52,12.65,11.84,3.53
Cgl1692,56.9,36.14,66.99,40.55,32.71,22.94
Cgl1693,23.49,11.54,19.52,15.8,8.12,8.03
Cgl1694,2.41,2.96,4.35,0.53,1.07,0.24
Cgl1696,77.55,30.01,50.85,48.58,32.67,17.36
Cgl1697,0,0,0,0.82,0,0
Cgl1698,0.61,0.27,0,0,0.27,0.91
Cgl1699,0,0,0,0.79,1.28,0.72
Cgl1700,0.47,0.41,0,1.27,1.65,0.23
Cgl1701,3.7,1.77,2.43,6.25,8.2,3.33
Cgl1702,15.78,7.97,8.2,118.93,76.1,33.15
Cgl1703,28.61,27.43,26.87,17.1,18.77,12.66
Cgl1704,0,0,0,0,0,0
Cgl1705,0.87,0,0.39,0,0.39,0.22
Cgl1706,0.85,0,4.6,0,0,0
Cgl1707,0,0,0.3,0,0,0
Cgl1708,0,0.2,0.6,0.24,1.09,1.76
Cgl1709,1.77,2.34,0.4,20.62,12.59,4.62
Cgl1710,7.5,2.19,3.23,8.01,8.24,12.57
Cgl1711,1.41,1.24,2.55,1.55,2.19,4.9
Cgl1712,0,1.06,1.64,2.32,0.81,0.6
Cgl1713,0.33,0.29,0.3,4.35,5.43,0.66
Cgl1714,12.68,7.35,10.16,73.78,109.52,27.15
Cgl1715,22.09,12.29,27.25,151.41,211.66,60.58
Cgl1716,0.42,0,0,11.83,10.16,4.2
Cgl1717,0.56,0,0,0.15,0.5,0.83
Cgl1718,23.36,16.15,22.59,80.39,114.55,29.13
Cgl1719,0.27,0,0,0.43,0.24,0.13
Cgl1720,5.32,0.78,2,5.58,4.52,2.86
Cgl1721,0,0,0,0,0,0
Cgl1722,0.65,0,0,2.68,2.32,0.81
Cgl1723,0,1.28,2.19,4.51,6.45,3.12
Cgl1724,9.32,13.43,18.64,451.57,409.01,164.51
Cgl1725,18.07,11.04,26.7,405.28,398.1,189.83
Cgl1726,24.25,9.36,28.03,30.75,25.8,20.66
Cgl1727,2.86,1.46,2.5,5.25,4.79,3.29
Cgl1728,13.19,8.21,11.81,8.72,8.77,4.87
Cgl1729,0.92,4.02,0.83,2.01,1.63,5
Cgl1731,2.83,0,1.7,13.4,10.03,4.2
Cgl1733,2.23,1.8,1.85,0,0,0
Cgl1736,0.94,0.27,0.57,2.05,1.53,0.46
Cgl1737,5.68,5.47,5.33,30.6,27.87,14.35
Cgl1738,0.52,1.14,0.47,1.71,3.34,0.26
Cgl1739,0.92,0.6,0.73,3.26,2.59,1.53
Cgl1740,2.2,1.08,1.6,6.25,4.17,2.87
Cgl1741,1.81,0,1.23,7.18,6.22,1.57
Cgl1742,8.73,9.36,15.77,76.09,61.28,38.19
Cgl1743,2.65,1.45,1.6,7.13,6.77,3.18
Cgl1744,0,0.95,0,0.59,0.48,0
Cgl1745,1.2,0,1.09,0.66,0.53,0
Cgl1746,25.53,15.27,27.78,110.71,136.87,64.96
Cgl1747,0.98,0.29,0.3,0.72,0.73,0
Cgl1748,0,0.66,0.34,1.03,0.84,0.19
Cgl1749,0,0.34,0.35,0.42,1.7,0.57
Cgl1750,1.9,1.91,1.96,0.59,1.93,0.94
Cgl1751,2.16,0.95,0,3.53,2.87,1.07
Cgl1753,0.7,0.31,0.64,4.81,2.96,2.96
Cgl1754,4.49,5.4,5.56,11.92,13.65,6.68
Cgl1755,0,0.14,0,0.61,0.07,0.24
Cgl1756,2.48,1.55,2.24,13.15,8.78,9.11
Cgl1757,5.56,1.95,0,4.87,5.43,7.72
Cgl1758,0.32,0.43,1.02,3.45,4.3,1.12
Cgl1759,3.29,1.44,2.67,5.46,6.86,6.14
Cgl1760,1.49,0.4,0.72,1.94,2.89,1.87
Cgl1761,0.85,0.37,0.39,1.63,0.95,0.63
Cgl1762,0,0,1.16,2.1,0,1.9
Cgl1765,1.19,0.28,0.59,1.92,2.76,1.5
Cgl1766,0,0,0,0.88,0.96,0.27
Cgl1767,1.6,0.47,0.48,0.58,2.61,0.53
Cgl1768,0,0,0,0.71,0.19,1.29
Cgl1769,0,0,0,0,0,0
Cgl1770,1.83,0,1.89,3.14,4.52,3.36
Cgl1771,1.73,0.25,2.87,9.95,12.17,7.01
Cgl1772,3.57,0.78,10.49,29.3,40,7.52
Cgl1773,9.12,3.28,11.36,8.45,8.17,3.95
Cgl1774,0,0,0,3.33,1.93,0
Cgl1775,2.19,0.93,1.05,2.58,2.09,1.86
Cgl1776,67.15,36.64,53.4,349.44,304.64,161.76
Cgl1777,15.89,10.95,23.23,58.93,64.81,41.78
Cgl1778,22.23,12.2,28.98,51.42,52.09,25.49
Cgl1779,1.74,1.64,3.62,4.82,3.85,2.18
Cgl1780,0.61,1.06,2.19,4.31,4.17,1.8
Cgl1781,56.26,34.82,57.88,167.05,148.72,68.75
Cgl1782,6.47,2.84,4.87,25.33,18.63,12.28
Cgl1783,1.25,0.55,1.69,1.36,1.1,0.93
Cgl1784,3.29,1.92,2.97,10.78,4.85,8.41
Cgl1786,2.18,2.65,1.97,3.44,3.49,2.46
Cgl1787,1.35,2.22,2.89,2.39,2.09,1.59
Cgl1788,4.24,3.44,1.62,3.21,2.75,2.75
Cgl1789,4,2.08,4.79,3.52,2.71,2.22
Cgl1790,2.05,1.7,1.95,3.36,2.78,1.07
Cgl1791,1.41,0,0.32,1.54,0.94,1.57
Cgl1792,0.42,0.73,0.38,1.71,2.5,1.14
Cgl1793,3.84,1.89,3.9,4.85,5.42,3.33
Cgl1794,7.39,5.06,11.89,21.97,18.02,8.69
Cgl1795,0.96,0.65,1.06,1.29,1.08,1.24
Cgl1796,1.01,1.48,1.22,1.48,0.9,0.33
Cgl1797,4.87,0.43,2.49,2.66,1.8,2.49
Cgl1798,1.46,1.28,1.05,2.39,2.45,1.15
Cgl1799,14.2,9.97,22.06,13.36,15.62,7.74
Cgl1800,1.41,0.71,1.82,2.75,3.22,1.9
Cgl1801,1.23,0.86,1.44,2.41,2.44,1.58
Cgl1802,0,0.36,0.62,1.12,0.85,0.61
Cgl1803,0.57,0.5,0.51,1.24,0.5,0
Cgl1804,0.4,0.35,0.97,2.65,2.63,1.47
Cgl1805,26.37,6.89,16.72,214.11,169.66,65.59
Cgl1806,776.68,569.23,644.23,18292.57,16731.83,6870.79
Cgl1807,45.26,26.46,29.2,245.08,123.27,92.88
Cgl1809,8.02,4.69,6.04,4.68,3.79,2.52
Cgl1810,20.41,12.05,24.46,11.37,17.4,7.19
Cgl1811,109.37,54.18,97.2,96.91,95.53,50.5
Cgl1812,3.33,2.84,2.64,3.51,3.86,3.48
Cgl1813,4.55,0.61,4.74,16.45,20.64,4.68
Cgl1814,31.77,14.5,28.3,97.79,65.12,34.27
Cgl1815,0,0,0,6.45,3.93,2.19
Cgl1817,73.14,33.79,68.17,47.43,42.48,32.41
Cgl1819,43.64,36.73,61.32,63.87,63.72,41.27
Cgl1820,17.54,3.47,7.15,55.67,46.66,11.21
Cgl1821,0.4,0.35,0.72,0.87,0.18,0.4
Cgl1822,34.67,21.27,47.08,51.43,60.09,27.26
Cgl1823,78.67,50.47,84.68,93.08,102.53,55.51
Cgl1824,0.71,0.94,1.29,17.39,20.75,4.96
Cgl1826,18.3,14.36,21.31,38.7,47.82,21.94
Cgl1828,0,0,0,2.74,0.81,0.68
Cgl1827,0,0.3,0,0,0.53,0.68
Cgl1829,0,0,0,0.38,0.15,1.02
Cgl1830,59.23,26.37,64.2,219.7,205.45,91.86
Cgl1831,2527.66,1172.79,2301.47,1324.27,1199,952.64
Cgl1832,18.52,3.01,11.77,42.36,22.8,11.21
Cgl1835,5.56,3.25,8.58,6.97,3.7,7.35
Cgl1836,69.61,38.05,65.08,36.71,29.77,16.63
Cgl1837,45.71,34.19,43.71,6.61,4.17,3.66
Cgl1838,27.05,14.89,16.29,2.61,4,1.84
Cgl1839,0.94,0,2.55,0,0.21,0
Cgl1840,268.87,125.96,221.46,4.15,4.9,2.8
Cgl1841,6.36,4.04,5.07,5.95,3.34,2.53
Cgl1842,4.45,2.26,3.81,4.74,3.74,4.29
Cgl1843,1.7,0.63,0.97,1.17,0.95,0.35
Cgl1844,0.2,0,0.18,0.91,1.08,0.05
Cgl1845,9.8,9.19,9.05,8.22,10.4,11.62
Cgl1846,0,0,0,0,0.22,0
Cgl1847,0,0,0,0,0,0
Cgl1848,3.51,1.83,2.48,1.08,0.58,0.76
Cgl1849,7.62,5.47,12.51,20.45,19.96,6.86
Cgl1850,1.67,0.29,0.75,1.37,0.96,0.25
Cgl1851,1.04,0.91,1.09,0.66,1,0.26
Cgl1852,0.61,0,0,0,0.27,0.91
Cgl1853,4.78,1.12,6.05,7.84,2.69,3.63
Cgl1854,0,0,0,0,0,0
Cgl1855,11.49,10.4,17.84,4.71,2.07,3.38
Cgl1856,1.26,0.49,0.76,0.54,0.68,1.18
Cgl1857,2.65,0,0.8,2.17,3.32,2.62
Cgl1858,75.38,47.51,85.94,100.34,80.43,49.78
Cgl1859,1.29,0.38,0.91,0.63,0.57,0.14
Cgl1860,0.34,1.5,0,0,0,0.34
Cgl1861,7.66,5.37,4.61,33.77,23.99,9.36
Cgl1862,3.39,2.23,0,8.35,10.91,3.78
Cgl1863,1.3,0.57,3.23,4.62,4.46,2.25
Cgl1864,0,0,0,0,0,0
Cgl1865,0,0,0,0,0.19,0
Cgl1866,0,0,0.72,1.96,0.89,0.79
Cgl1867,18.52,6.37,9.51,141.71,144.39,52.15
Cgl1868,0,0,0,0,0,0
Cgl1869,0,0,0,0,0.37,0.42
Cgl1870,0.36,0,0,1.94,2.21,0.18
Cgl1871,0,0,0,0,0,0.45
Cgl1872,0,0.26,0,0.16,0.39,0.58
Cgl1873,0.55,0,0,0.6,0.24,0.82
Cgl1874,0.95,0,0,0.17,1.4,0.94
Cgl1875,0,0,0,0,0,0
Cgl1876,0,0,0,0,0,0
Cgl1877,0,0,0,0,0.34,0
Cgl1878,1.72,0,1.55,0.47,0,0
Cgl1879,1.72,0.75,0,46.51,24.39,10.22
Cgl1880,18.45,5.82,12,109.33,67.4,34.72
Cgl1881,384.59,188.61,397.66,6.44,5.05,3.16
Cgl1886,0.25,0.43,0.66,0,0,0
Cgl1887,7.97,3.6,6.79,0,0,0
Cgl1888,0,0,0,0,0,0
Cgl1889,0,0,0,0,0,0
Cgl1890,0.26,0.34,0.7,0,0,0
Cgl1891,0.69,0.6,0,0,0,0
Cgl1892,0,0.61,0,0.76,0,0
Cgl1893,0,0.82,0,0,0,0
Cgl1894,0.59,1.54,1.06,0.96,1.3,0.87
Cgl1895,0.6,0.53,0.54,0.66,1.33,1.79
Cgl1896,25.64,15.33,32.9,39.51,34.62,21.07
Cgl1897,39.05,25.01,46.24,53.77,51.87,23.43
Cgl1898,142.23,98.66,183.5,558.36,735.15,222.38
Cgl1899,101.69,50.85,103.42,228.43,272.97,65.67
Cgl1900,33.29,21.39,38.99,56.39,57.72,21.06
Cgl1901,29.91,15.03,28.53,74.14,65.79,24.64
Cgl1902,70.02,68.33,85.19,150.39,198.09,94.44
Cgl1903,75.45,53.34,77.2,97.06,89.06,55.69
Cgl1904,81.33,38.66,71.11,178.88,195.44,88.97
Cgl1905,7.69,1.98,6.95,56.91,61,17.71
Cgl1906,16.23,8.74,16,32.07,37.3,23.39
Cgl1907,0,3.4,5.26,14.32,8.17,4.8
Cgl1908,29.1,10.33,26.9,123.85,141.9,53.87
Cgl1909,117.42,88.78,116.52,505.35,674.96,239.58
Cgl1911,90.39,50.04,105.41,344.16,326.06,93
Cgl1912,27.1,23.23,25.57,141.31,198.08,108.95
Cgl1913,57.71,40.03,46.33,613.44,908.7,322.64
Cgl1914,46.25,29.09,42.42,65.26,83.34,33.45
Cgl1916,0,1.49,3.07,20.88,13.92,6.73
Cgl1915,8.18,1.43,1.48,4.92,3.08,4.66
Cgl1917,61.77,47.28,64.92,47.09,40.07,23.87
Cgl1918,22.94,13.55,21.57,10.49,6.85,6.03
Cgl1919,422.07,313.68,484.99,1159.08,689.5,694.33
Cgl1920,81.23,46.8,92.91,241.33,275.5,123.06
Cgl1921,59.05,43.85,52.96,154.65,202.95,89.47
Cgl1922,1.8,1.26,1.3,3.83,3.66,3.02
Cgl1923,154.24,113.13,204.07,677.24,483.11,338.38
Cgl1924,24.69,13.57,25.19,53.72,60.45,19.77
Cgl1925,19.04,16.7,17.76,209,239.15,58.23
Cgl1926,48.68,48.58,58.62,347.4,402.97,210.26
Cgl1927,13.44,11.74,16.38,36.06,48.95,20.18
Cgl1928,21.58,6.31,23.55,108.64,105.85,50.11
Cgl1929,14.93,2.53,17.39,103.45,98.63,69.88
Cgl1930,203.94,87.2,152.81,827.65,815.08,393.07
Cgl1931,11.75,5.04,6.6,26.55,19.8,9.44
Cgl1932,97.71,107.4,117.86,43.48,43.88,54.27
Cgl1933,216.56,162.51,213.26,1137.6,1591.09,545.84
Cgl1934,364.57,341.53,488.45,648.33,662.1,676.49
Cgl1935,438.32,342.51,388.09,1612.79,1617.97,1210.69
Cgl1936,525.79,456.73,510.47,2619.91,2562.21,1596.11
Cgl1937,213.48,115.78,156.02,2796.46,2366.56,699.45
Cgl1938,8.87,8.8,10.45,37.33,42.07,11.27
Cgl1939,22.42,15.51,24.53,36.68,37.1,15.72
Cgl1940,41.4,24.63,31.26,107.49,154.99,58.49
Cgl1941,131.76,97.67,129.18,215.8,227,78.15
Cgl1942,21.5,21.5,23.85,71.76,104.68,39.05
Cgl1943,53.97,25.27,38.16,141.12,128.09,59.27
Cgl1944,5.17,1.58,4.47,33.31,36.08,8.69
Cgl1945,11.48,6.9,4.74,31.38,34.32,12.35
Cgl1947,13.1,6.44,8.96,36.57,36.26,17.7
Cgl1948,80.54,60.35,76.92,162.13,170.2,89.42
Cgl1949,62.48,41.24,70.74,63.88,95.33,39.63
Cgl1950,923.1,805.67,999.74,444.32,517.53,378.34
Cgl1951,618.14,449.19,617.31,582.06,724.34,277.09
Cgl1952,187.67,133.39,193.86,180.39,194.93,107.49
Cgl1953,120.67,103.44,114.8,143.99,125.67,108.25
Cgl1954,15.4,10.48,19.3,42.1,40.83,18.84
Cgl1955,168.92,110.87,150.77,751.67,638.5,513.69
Cgl1956,2.83,0,1.7,4.12,2.51,3.74
Cgl1957,1.41,0.5,1.53,3.71,4.64,0.42
Cgl1958,0,0,0.3,2.94,1.94,1.83
Cgl1959,11.17,4.38,9.56,14.14,16.81,4.22
Cgl1960,7.32,3.79,10.52,14.01,9.3,8.24
Cgl1961,145.83,85.55,151.19,489.07,578.65,198.37
Cgl1962,42.12,20.95,13.06,195.2,142.42,41.72
Cgl1963,5.89,3.44,4.61,7.51,10.09,4.86
Cgl1964,10.08,7.07,6.07,28.66,36.51,11.99
Cgl1965,28.29,14.89,20.44,56.06,68.04,30.47
Cgl1967,104.96,77.41,116.67,191.3,163.93,87.43
Cgl1968,163.86,123.24,166.38,376.76,355.81,241.07
Cgl1969,12.81,5.9,22.56,22.93,17.18,11.58
Cgl1970,313.59,273.28,342.74,530.1,439.11,289.27
Cgl1971,69.91,49.29,66.8,227.98,214.99,119.59
Cgl1972,10.55,4.51,11.97,45.4,51.57,21.17
Cgl1973,28.08,26.06,21.42,158.15,163.92,56.99
Cgl1974,62.14,40.64,54.83,994.66,837.88,442.14
Cgl1975,124.08,86.55,133.53,545.17,985.77,214.79
Cgl1976,171.99,105.19,188.04,571.17,438.13,204.01
Cgl1977,22.06,13.15,15.47,88.87,125.43,29.7
Cgl1978,37.12,20.72,33.17,67.5,80.09,39.53
Cgl1979,18,7.99,19.96,29.77,34.75,15.57
Cgl1980,20.55,11.47,15.47,11.75,13.39,11.72
Cgl1981,17.67,7.08,11.17,18.07,19.13,11.25
Cgl1982,13.02,11.01,12.88,21.44,25.63,17.2
Cgl1983,29.77,25.75,41.61,104.21,113.8,88.56
Cgl1984,10.86,5.56,7.77,81.9,90.9,22.19
Cgl1985,424.58,366.14,422.26,680.34,801.51,413.57
Cgl1986,995.54,1028.56,1055.95,1442.91,1544.71,1178.75
Cgl1987,54.44,35.23,52.85,102.88,136.22,47.06
Cgl1989,10.62,3.99,3.08,20.11,18.83,9.39
Cgl1988,7.71,4.58,8.98,14.41,16.43,5.05
Cgl1990,604.55,356.59,613.17,170.73,319.57,78.25
Cgl1991,31.86,27.36,30.16,10.57,25.62,6.09
Cgl1992,6.3,6.39,4.09,1.29,2.79,1.46
Cgl1993,0.35,0.31,1.17,0.96,1.46,0
Cgl1994,100.17,71.47,88.59,216.83,260.73,121.95
Cgl1995,8,5.81,12.96,27.76,30.47,10.66
Cgl1996,9.54,4.54,11.57,10.43,10.15,6.08
Cgl1997,14.57,13.59,20.83,18.76,13.99,12.43
Cgl1998,24.88,12.1,24.67,16.71,16.79,7.5
Cgl1999,20.01,7.15,21.69,71.5,44.74,26.19
Cgl2000,16.81,8.53,11.38,239.98,243.16,130.35
Cgl2001,224.41,158.19,205.73,185.65,210.94,85.51
Cgl2002,54.47,30.91,70.72,119.12,117.12,56.74
Cgl2003,84.5,49.07,97.24,173.87,167.49,57.73
Cgl2004,3804.86,2407.89,3951.74,407.31,362.76,140.6
Cgl2005,1521.9,560.2,1198.74,141.35,121.41,42.03
Cgl2006,17.81,16.84,19.1,42.44,30.22,9.92
Cgl2007,195.07,108.28,199.07,487.33,384.5,174.7
Cgl2008,18.8,11.73,17.08,22.18,21.42,10.46
Cgl2009,30.89,23.14,32.55,37.29,48.65,33.79
Cgl2010,12.03,4.25,12.49,43.69,49.21,22.51
Cgl2011,7.85,2.23,4.02,26.68,18.91,18.39
Cgl2012,31.15,19.59,36.63,95.6,47.82,93.31
Cgl2014,107.93,70.55,120.47,517.5,534.77,202.41
Cgl2015,30.84,22.05,24.07,105.39,112.82,61.94
Cgl2016,13.3,8.79,16.69,131.37,169.11,66.66
Cgl2017,160.1,118.68,153.71,381.44,400.05,177.45
Cgl2018,28.73,16.38,29.55,17.75,13.48,19.14
Cgl2019,3.09,0.42,3.22,6.62,6.31,4
Cgl2020,64.93,61.65,76.19,174.96,174.04,120.86
Cgl2022,27.79,16.38,30.86,54.55,54.24,40.85
Cgl2023,217.55,119.73,209.99,917.71,914.99,356.89
Cgl2024,56.21,51,59.31,305.14,326.42,191.43
Cgl2025,234.18,137.85,227.49,983.83,1453.87,430.34
Cgl2026,641.12,456.71,725.24,1384.7,1483.19,518.58
Cgl2027,0.82,0,2.97,0.9,1.46,0.41
Cgl2028,3.01,1.88,2.72,11.04,11.14,2.77
Cgl2029,0,0,0,0.56,0.99,0.43
Cgl2030,0,0.7,0,0.66,0.59,0.99
Cgl2031,0,0,0,0,0,0
Cgl2032,14.64,6.42,14.43,38.57,33.35,11.87
Cgl2033,0.61,0,0.82,3.83,10.53,3.17
Cgl2034,14.2,15.4,23.55,36.27,49.79,24.04
Cgl2035,0.22,0.38,1.56,0.94,1.62,0.11
Cgl2037,262.04,156.69,222.68,702.92,636.33,354.27
Cgl2038,9.79,1.61,4.42,0.84,1.22,1.06
Cgl2039,14.3,10.8,19.78,4.06,4.41,2.78
Cgl2040,2.06,0.9,2.79,1.12,0,0
Cgl2041,3.38,1.83,4.93,2.7,3.46,1.16
Cgl2042,7.94,3.15,8.71,3.72,3.27,0.56
Cgl2043,40.7,28.01,42.17,53.84,46.52,22.86
Cgl2044,1.04,0.73,2.07,2.39,2.86,1.86
Cgl2045,0,0,0.13,1.46,0.85,1.25
Cgl2046,0.16,0,0,3.29,2.3,1.13
Cgl2048,58.27,23.91,46.83,513.48,451.98,129.48
Cgl2049,34.09,23.71,33.71,39.85,44.04,42.36
Cgl2050,34.06,23.37,32.44,59.28,71.81,33.28
Cgl2051,203.67,127.87,217.01,887.87,830.47,353.32
Cgl2052,15,14.89,27.45,55.89,41.65,11.73
Cgl2053,4.64,0.51,7.86,33.94,22.9,14.08
Cgl2054,303.88,261.13,331.33,344.33,358.12,193.05
Cgl2055,13.66,2.62,12.73,77.97,82.16,19.88
Cgl2056,2.81,2.87,1.69,31.1,45.67,24.7
Cgl2057,1.39,0.2,0.63,10.26,18.59,7.35
Cgl2058,88.95,68.13,86.72,149.48,153.25,57.38
Cgl2059,555.87,346.43,555.12,404.84,237.29,175.27
Cgl2060,1850.5,1214.04,1835.15,2977.46,1153.94,1285.88
Cgl2061,7646.7,5018.15,7588.03,6492.19,2712.06,3966.29
Cgl2062,74.88,31.46,75.52,117.46,135.74,73.72
Cgl2064,43.21,29.48,44.42,133.25,167.97,65.07
Cgl2065,13.16,4.74,9.18,17.47,10.75,7.19
Cgl2066,3.57,0,5.16,12.89,2.53,2.12
Cgl2067,6.98,2.72,5.9,6.96,6.68,6.36
Cgl2068,2.37,3.11,3.42,8.92,7.13,4.1
Cgl2069,0.25,0.44,1.36,1.92,1.78,1.87
Cgl2071,0.91,0.4,0.82,2.47,2.21,1.79
Cgl2072,1.98,1.73,0.89,2.52,3.07,1.14
Cgl2073,6.86,4.15,8.97,17.46,18.46,12.07
Cgl2074,36.41,30.97,31.89,176.75,173.56,64.95
Cgl2075,78.51,43.24,85.98,304.18,289.4,223.37
Cgl2076,31.89,11.95,30.66,206.81,186.99,58.08
Cgl2077,14.28,10.66,15.61,44.03,37.49,28.97
Cgl2078,22.19,12.82,19.92,50.99,40.41,29.28
Cgl2079,1008.09,739.18,1074.47,488.79,625.67,369.9
Cgl2080,12.31,6.83,14.88,65.03,82.84,37.39
Cgl2081,19.4,11.19,26.28,80.93,67.9,16.43
Cgl2082,34.18,17.47,34.6,112.1,111.16,53.9
Cgl2083,108.11,72.1,130.33,107.04,113.55,65.98
Cgl2084,4.81,0.53,3.8,6.57,5.86,0.89
Cgl2086,3.65,0,0,3.99,4.85,2.53
Cgl2087,0.57,0.14,0.44,2.23,3.01,1.38
Cgl2088,2.93,1.58,7.33,36.75,37.5,11.62
Cgl2089,1437.71,1047,1444.42,8246.46,9480.94,4211.29
Cgl2090,8.35,3.19,6.19,30.91,30.67,14.11
Cgl2091,17.88,12.04,28.32,92.08,75.71,45.95
Cgl2092,31.48,18.13,35.4,91.95,75.8,40.66
Cgl2093,55.34,48.03,71.11,116.65,116.35,77.71
Cgl2094,41.42,33.33,61.08,124.24,114.13,74.66
Cgl2095,38.62,18.55,29.99,66.84,65.65,44.23
Cgl2096,63.22,41.95,63.8,102.18,100.17,64.94
Cgl2097,8.01,5.9,6.65,45.52,40.18,12.06
Cgl2098,21.03,15.48,22.03,43.08,51.88,38
Cgl2099,25.91,26.64,25.01,78.63,81.98,58.41
Cgl2100,89.63,56.32,90.31,436.43,448.84,164.66
Cgl2101,105.07,63.11,105.09,381.07,399.18,177.85
Cgl2102,195.55,148.39,228.8,459.55,510.01,329.75
Cgl2103,16.93,8.17,20.34,85.15,102.54,28.09
Cgl2104,5.92,3.55,7.31,30.14,20.85,13.73
Cgl2105,42.31,14.4,33.37,335.59,247.66,134.67
Cgl2106,1.77,1.55,1.28,16.62,10.19,2.1
Cgl2107,92.96,63.24,85.49,150.1,172.26,72.76
Cgl2108,24.57,16,16.93,33.38,29.88,16.94
Cgl2109,0.52,1.15,1.89,1.43,2.32,0.91
Cgl2110,1,0.18,0.54,1.43,1.07,0.9
Cgl2111,5.91,3.4,5.52,52.83,59.84,18.88
Cgl2112,3.56,2.23,7.58,8.2,10.37,8.82
Cgl2113,8.61,4.46,8.66,11.02,14.57,9.79
Cgl2114,45.88,33.74,47.01,207.29,244.91,114.13
Cgl2115,5.5,4.43,3.73,97.8,57.76,12.95
Cgl2116,15.09,5.09,14.81,33.47,28.17,16.38
Cgl2117,2.01,0,0.6,5.12,2.82,1.49
Cgl2118,131.52,87.04,144.61,454.35,384.08,206.49
Cgl2119,42.88,23.5,59.7,114.06,103.77,56.93
Cgl2120,1.09,0.95,1.96,6.83,5.06,1.08
Cgl2121,9.39,1.89,5.48,31.23,34.52,8.92
Cgl2122,19.65,19.11,26.53,73.59,51.23,49.72
Cgl2123,53.99,35.16,47.32,77.74,112.11,54.81
Cgl2124,1.74,1.53,3.93,12.85,16.59,8.19
Cgl2126,2.8,0.27,3.94,7.49,12.29,2.93
Cgl2125,467.57,288.29,513.03,799.25,680.32,471.9
Cgl2127,43.5,21.66,40.55,58.52,57.79,29.55
Cgl2128,7.19,6.65,6.85,46.07,78.97,8.7
Cgl2129,174.29,92.42,154.51,344.66,344.36,151.16
Cgl2130,185.92,128.75,194.37,324.05,240.37,174.73
Cgl2131,1.45,1.06,2.62,6.08,2.57,2.39
Cgl2132,3.89,2.28,7.81,23.64,25.31,16.06
Cgl2133,6.19,8.69,9.32,42.19,52.24,31.69
Cgl2134,114.91,88.31,134.65,448.77,531.23,178.25
Cgl2135,61.98,37.81,68.18,50.16,47.62,37.88
Cgl2136,15.16,10.11,15.81,15.29,17.8,15.12
Cgl2137,14,7.06,10.43,16.26,22.5,9.01
Cgl2138,57.63,33.89,58.16,88.67,121.47,58.71
Cgl2139,9.8,3.68,11.06,25.64,29.63,11.27
Cgl2140,10.94,7.82,10.25,21.38,28.48,10.14
Cgl2141,29.94,16.21,25.04,75.31,56.43,36.01
Cgl2142,42.56,22.51,46.67,62.97,51.81,24.93
Cgl2143,8.33,4.02,7.15,44.4,46.54,19.39
Cgl2144,2.32,0.38,3.67,8.8,9.78,5.25
