reactions,kcat
TMPPP_num2,5.036041555
3OAS181_num3,5.036041555
G3PAT180_num5,5.036041555
TMPPP_num3,5.036041555
AACPS3_num2,5.036041555
3OAS180_num3,5.036041555
G3PAT161_num3,5.036041555
3OAS60_num2,5.036041555
AACPS6_num1,5.036041555
AACPS9_num1,5.036041555
AACPS2_num1,5.036041555
ACONTa_reverse,5.036041555
G3PAT160_num1,5.036041555
SSALy_num3,5.036041555
AGPAT160,5.036041555
ACPPAT141,5.036041555
ACOAD7f,5.036041555
AACPS1_num1,5.036041555
FA161ACPHi_num1,5.036041555
KAS15_num1,5.036041555
AACPS3_num1,5.036041555
3OAS141_num2,5.036041555
3OAS161_num2,5.036041555
3OAS160_num3,5.036041555
3OAS160_num2,5.036041555
3OAS141_num3,5.036041555
AACPS4_num1,5.036041555
AACPS1_num2,5.036041555
AACPS7_num1,5.036041555
3OAS140_num3,5.036041555
3OAS140_num2,5.036041555
AACPS5_num1,5.036041555
MAN1PG,4.988440285
CYSTRS_num1,4.985765685
ADNUC_num3,4.980071182
PANTS_num1,4.952569341
G5SD,4.930779386
GLUCYS,4.879529988
AACPS7_num2,4.848454601
AACPS7_num3,4.848454601
BWCOS_num1,4.848454601
TRATF_reverse_num1,4.846034634
G6PDH2r,4.846034634
BTS4,4.84271431
3OAR181,4.817855645
RBFSa,4.803379033
PAPSR2,4.80026875
TRPTRS,4.80026875
TYRTRS,4.80026875
VALTRS_num1,4.80026875
PPCDC,4.769446691
EAR121x,4.76917053
EAR121y,4.76917053
DASYN160,4.762001364
MCOATA_num4,4.762001364
MCOATA_num3,4.762001364
MPTAT,4.739976359
EAR140x,4.643118924
EAR140y,4.643118924
PSP_L,4.641876615
ACOAD2f,4.617195436
PTAr,4.58633346
DAPDH,4.58633346
ACOATA_reverse_num1,4.58633346
PGP161abcpp_num2,4.576486127
GARFT_reverse,4.576486127
ALDD19x,4.55613293
CYANSTpp_num2,4.551315586
G6PDA,4.527990281
D52DGK,4.519801043
PAPPT3_reverse,4.519801043
FACOAL181t2pp_num2,4.491933097
UDCPDPS,4.491933097
UPP3MT_num1,4.491933097
GLYC2Pabcpp,4.423408701
GLYBabcpp_num1,4.423408701
FACOAL120t2pp_num1,4.412772568
EAR161y,4.406841681
EAR161x,4.406841681
