regulator,target,sign,data_type
Cgl0627,Cgl2515,-1,iModulon
Cgl0627,Cgl2516,-1,iModulon
Cgl2280,Cgl2635,-1,iModulon
Cgl2280,Cgl2636,-1,iModulon
Cgl2280,Cgl2637,-1,iModulon
Cgl2280,Cgl2638,-1,iModulon
Cgl0554,Cgl2685,-1,iModulon
Cgl2782,Cgl2781,-1,iModulon
Cgl0627,Cgl2807,-1,iModulon
Cgl0627,Cgl2812,-1,iModulon
Cgl0627,Cgl2813,-1,iModulon
Cgl0627,Cgl2814,-1,iModulon
Cgl0627,Cgl2815,-1,iModulon
Cgl0627,Cgl2816,-1,iModulon
Cgl0627,Cgl2817,-1,iModulon
Cgl2782,Cgl2954,-1,iModulon
Cgl0554,Cgl2977,-1,iModulon
Cgl1920,Cgl3085,-1,iModulon
