regulator,target,sign,data_type
Cgl0291,Cgl0836,-1,CoryNeRegNet
Cgl0291,Cgl1588,-1,CoryNeRegNet
Cgl0291,Cgl2059,-1,CoryNeRegNet
Cgl0291,Cgl0909,1,CoryNeRegNet
Cgl0291,Cgl2150,1,CoryNeRegNet
Cgl0291,Cgl1188,1,CoryNeRegNet
Cgl0291,Cgl2329,-1,CoryNeRegNet
Cgl0291,Cgl1273,-1,CoryNeRegNet
Cgl0291,Cgl1385,-1,CoryNeRegNet
Cgl0291,Cgl0910,1,CoryNeRegNet
Cgl0291,Cgl2565,-1,CoryNeRegNet
Cgl0291,Cgl2823,-1,CoryNeRegNet
Cgl0291,Cgl3023,-1,CoryNeRegNet
Cgl0291,Cgl2569,1,CoryNeRegNet
Cgl0291,Cgl3024,-1,CoryNeRegNet
Cgl0291,Cgl3026,-1,CoryNeRegNet
Cgl0369,Cgl2753,-1,CoryNeRegNet
Cgl0369,Cgl3007,-1,CoryNeRegNet
Cgl0369,Cgl0372,-1,CoryNeRegNet
Cgl0369,Cgl0689,-1,CoryNeRegNet
Cgl0369,Cgl0829,-1,CoryNeRegNet
Cgl0369,Cgl2642,-1,CoryNeRegNet
Cgl0369,Cgl2752,-1,CoryNeRegNet
Cgl0369,Cgl0039,-1,CoryNeRegNet
Cgl0369,Cgl0314,-1,CoryNeRegNet
Cgl0369,Cgl0635,-1,CoryNeRegNet
Cgl0369,Cgl0661,-1,CoryNeRegNet
Cgl0369,Cgl0668,-1,CoryNeRegNet
Cgl0369,Cgl0830,-1,CoryNeRegNet
Cgl0369,Cgl0913,-1,CoryNeRegNet
Cgl0369,Cgl1613,-1,CoryNeRegNet
Cgl0369,Cgl1900,-1,CoryNeRegNet
Cgl0369,Cgl2248,1,CoryNeRegNet
Cgl0369,Cgl2565,-1,CoryNeRegNet
Cgl0369,Cgl0370,-1,CoryNeRegNet
Cgl0369,Cgl0371,-1,CoryNeRegNet
Cgl0369,Cgl1360,-1,CoryNeRegNet
Cgl0369,Cgl0036,-1,CoryNeRegNet
Cgl0369,Cgl0038,-1,CoryNeRegNet
Cgl0369,Cgl0636,-1,CoryNeRegNet
Cgl0369,Cgl0665,-1,CoryNeRegNet
Cgl0369,Cgl0667,-1,CoryNeRegNet
Cgl0369,Cgl0909,-1,CoryNeRegNet
Cgl0369,Cgl0910,-1,CoryNeRegNet
Cgl0369,Cgl0912,-1,CoryNeRegNet
Cgl0369,Cgl1540,-1,CoryNeRegNet
Cgl0369,Cgl1541,-1,CoryNeRegNet
Cgl0369,Cgl2035,-1,CoryNeRegNet
Cgl0369,Cgl2192,-1,CoryNeRegNet
Cgl0369,Cgl2511,-1,CoryNeRegNet
Cgl0369,Cgl0369,-1,CoryNeRegNet
Cgl0369,Cgl2770,-1,CoryNeRegNet
Cgl0369,Cgl0373,-1,CoryNeRegNet
Cgl0369,Cgl0828,-1,CoryNeRegNet
Cgl0369,Cgl1612,-1,CoryNeRegNet
Cgl0369,Cgl0832,-1,CoryNeRegNet
Cgl0369,Cgl1117,-1,CoryNeRegNet
Cgl0369,Cgl2329,-1,CoryNeRegNet
Cgl0369,Cgl2562,-1,CoryNeRegNet
Cgl0369,Cgl2796,-1,CoryNeRegNet
Cgl0369,Cgl1899,-1,CoryNeRegNet
Cgl0369,Cgl2566,-1,CoryNeRegNet
Cgl0369,Cgl2569,-1,CoryNeRegNet
Cgl0369,Cgl2331,-1,CoryNeRegNet
Cgl0369,Cgl2807,-1,CoryNeRegNet
Cgl0369,Cgl0374,-1,CoryNeRegNet
Cgl0369,Cgl0291,-1,CoryNeRegNet
Cgl0369,Cgl0833,-1,CoryNeRegNet
Cgl0369,Cgl0637,-1,CoryNeRegNet
Cgl0369,Cgl0666,-1,CoryNeRegNet
Cgl0369,Cgl0831,-1,CoryNeRegNet
Cgl0369,Cgl0911,-1,CoryNeRegNet
Cgl0369,Cgl1611,-1,CoryNeRegNet
Cgl0369,Cgl2863,-1,CoryNeRegNet
Cgl0379,Cgl0381,-1,CoryNeRegNet
Cgl0379,Cgl0379,-1,CoryNeRegNet
Cgl0379,Cgl0380,-1,CoryNeRegNet
Cgl0385,Cgl3081,-1,CoryNeRegNet
Cgl0385,Cgl0386,-1,CoryNeRegNet
Cgl0385,Cgl2961,-1,CoryNeRegNet
Cgl0385,Cgl2962,-1,CoryNeRegNet
Cgl0385,Cgl0385,-1,CoryNeRegNet
Cgl0420,Cgl0421,1,CoryNeRegNet
Cgl0420,Cgl0422,1,CoryNeRegNet
Cgl0420,Cgl0423,1,CoryNeRegNet
