,flux,z,f,enz,met_concentration,reaction,gpr
PFK,4.218982312018763,1.0,3.8792731231428643,0.0010899559994892892,;adp_c : 4.999999992621078e-07;atp_c : 4.999999992621075e-06;f6p_c : 5.910070966668097e-06;fdp_c : 0.02000000000856292;h_c : 1.0,atp_c + f6p_c --> adp_c + fdp_c + h_c,Cgl1250
FBA,4.218982312018763,1.0,3.879273123142873,0.005781089953507353,;dhap_c : 0.004314662375034608;fdp_c : 0.02000000000856292;g3p_c : 0.00010515528173919147,fdp_c --> dhap_c + g3p_c,Cgl2770
PYK_num2,4.218982312018763,1.0,3.879273123142866,8.072296009623567e-05,;adp_c : 4.999999992621078e-07;atp_c : 4.999999992621075e-06;h_c : 1.0;pep_c : 8.992715926505502e-07;pyr_c : 0.0002668998782767048,adp_c + h_c + pep_c --> atp_c + pyr_c,Cgl2910
PGI,3.31694693605167,1.0,3.879273123142866,4.4254710916664154e-05,;f6p_c : 5.910070966668097e-06;g6p_c : 7.011964936477477e-05,g6p_c --> f6p_c,Cgl0851
MDH_reverse,3.219882080112768,1.0,24.623808732605152,0.00038128219998410034,;h_c : 1.0;mal__L_c : 0.0001471364976062186;nad_c : 5.601343286015406e-06;nadh_c : 5.601343286015409e-07;oaa_c : 0.001097439223202773,h_c + nadh_c + oaa_c --> mal__L_c + nad_c,Cgl2380
ACKr,2.9629941040070245,1.0,3.879273123142868,0.00014347777431878903,;ac_c : 0.02000000000856292;actp_c : 0.00015459154432725003;adp_c : 4.999999992621078e-07;atp_c : 4.999999992621075e-06,ac_c + atp_c --> actp_c + adp_c,Cgl2752
ASAD_reverse,2.9629941040070245,1.0,3.8792731231428554,0.0001806303847688134,;4pasp_c : 9.47830146825508e-06;aspsa_c : 4.999999992621078e-07;h_c : 1.0;nadp_c : 4.999999992621078e-07;nadph_c : 4.999999992621075e-06;pi_c : 0.002224510384831014,4pasp_c + h_c + nadph_c --> aspsa_c + nadp_c + pi_c,Cgl0252
ACONTa,2.9629941040070245,1.0,3.8792731231428697,0.00041288521500276206,;acon_C_c : 1.3075877163899586e-06;cit_c : 0.00020843669776270658;h2o_c : 1.0,cit_c --> acon_C_c + h2o_c,Cgl1540
ACONTb,2.9629941040070245,1.0,3.8792731231428634,0.00041288521500276206,;acon_C_c : 1.3075877163899586e-06;h2o_c : 1.0;icit_c : 4.999999992621078e-07,acon_C_c + h2o_c --> icit_c,Cgl1540
ICDHyr,2.9629941040070245,1.0,12.415100864556356,0.003972419895550629,;akg_c : 4.999999992621078e-07;co2_c : 9.999999999761835e-05;icit_c : 4.999999992621078e-07;nadp_c : 4.999999992621078e-07;nadph_c : 4.999999992621075e-06,icit_c + nadp_c --> akg_c + co2_c + nadph_c,Cgl0664
SDPTA_reverse,2.9629941040070245,1.0,7.265468560918342,0.0015200166509456963,;akg_c : 4.999999992621078e-07;glu__L_c : 1.384728484713249e-05;sl26da_c : 4.999999992621078e-07;sl2a6o_c : 4.999999992621078e-07,glu__L_c + sl2a6o_c --> akg_c + sl26da_c,Cgl0814
PTAr_reverse,2.9629941040070245,1.0,3.8792731231428634,7.916126698929806e-05,;accoa_c : 4.999999992621078e-07;actp_c : 0.00015459154432725003;coa_c : 8.45956083895914e-07;pi_c : 0.002224510384831014,actp_c + coa_c --> accoa_c + pi_c,Cgl2753
AKGDH,2.9629941040070245,1.0,5.235464389433567,0.003728549523539316,;akg_c : 4.999999992621078e-07;co2_c : 9.999999999761835e-05;coa_c : 8.45956083895914e-07;nad_c : 5.601343286015406e-06;nadh_c : 5.601343286015409e-07;succoa_c : 0.0004247971542618099,akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c,Cgl1129 and Cgl0366 and Cgl2207 and Cgl2248
DM_lys__L_c,2.9629941040070245,1.0,-9999.0,-9999.0,;lys__L_c : 4.999999992621078e-07,lys__L_c --> ,
