reactions,kcat,MW,kcat_MW
SHSL1_num2,8.163358471,40601.44990000005,723.8187446010386
METSOXR1_num2,8.163358471,23930.2477,1228.072975425156
PGP120abcpp_num1,8.163358471,87329.29130000003,336.5204281189442
FBA_reverse,7.95461901,37213.61340000001,769.5202325071715
RNDR4,7.930389036,118415.36350000053,241.09540929289867
RNDR4b,7.930389036,80360.53450000047,355.26643404294225
RNTR2c,7.930389036,10917.149099999991,2615.0966949420913
TKT1,7.885986341,72405.24720000032,392.0924508299983
PA160abcpp_num2,7.855711468,124789.74090000006,226.62569118933067
GLYK,7.855711468,56144.53370000014,503.7099682030119
3OAS121_num1,7.802865546,14750.437999999996,1904.3716509028413
3OAS60_num1,7.802865546,14750.437999999996,1904.3716509028413
ACOATA_num1,7.802865546,51947.94010000007,540.7397465910291
3OAS181_num1,7.802865546,14750.437999999996,1904.3716509028413
3OAS180_num1,7.802865546,14750.437999999996,1904.3716509028413
3OAS140_num1,7.802865546,14750.437999999996,1904.3716509028413
PGP141abcpp_num2,7.802865546,124789.74090000006,225.10116427046756
3OAS80_num1,7.802865546,14750.437999999996,1904.3716509028413
3OAS100_num3,7.802865546,65266.35630000022,430.39503900725504
SPMDAT2_num4,7.802865546,16649.546399999985,1687.152027493075
ADNUC_num2,7.802865546,24571.651799999985,1143.2001476433104
3OAS141_num1,7.802865546,14750.437999999996,1904.3716509028413
3OAS121_num2,7.802865546,72794.94800000028,385.88276710630925
AMPTASEPG_num2,7.802865546,52787.107000000135,532.1435017380272
3OAS120_num1,7.802865546,14750.437999999996,1904.3716509028413
MSDH_num2,7.802865546,25097.803900000006,1119.2340205351588
3OAS100_num1,7.802865546,14750.437999999996,1904.3716509028413
3OAS160_num1,7.802865546,14750.437999999996,1904.3716509028413
G3PAT161_num5,7.802865546,32647.446300000014,860.4138806899573
SPMDAT2_num3,7.802865546,17177.082099999992,1635.3368867928978
3OAS161_num1,7.802865546,14750.437999999996,1904.3716509028413
3OAS121_num3,7.802865546,65266.35630000022,430.39503900725504
ME1_num2,7.802865546,40932.37550000005,686.2615624543942
RBK_num2,7.802865546,60213.001600000054,466.51578926767826
G3PAT180_num2,7.802865546,36468.071600000025,770.271493203934
KARA1_reverse,7.802865546,36158.381400000006,776.8687335545388
SPMDAT2_num6,7.802865546,9419.612999999992,2982.1093462756935
PY5PSH_reverse,7.802865546,655015.6032000005,42.884956981739236
G3PAT180_num4,7.802865546,39787.823900000025,706.0028222754846
ILETA_reverse,7.802865546,41690.674299999984,673.7793628250338
3OAS100_num2,7.802865546,72794.94800000028,385.88276710630925
SPMDAT2_num2,7.802865546,16178.071199999995,1736.3204561493096
3OAS120_num3,7.802865546,65266.35630000022,430.39503900725504
FFSD_num2,7.802865546,54595.53190000016,514.5167560058136
3OAS120_num2,7.802865546,72794.94800000028,385.88276710630925
